Nome Azienda,Telefono / Cellulare,Tipo Azienda,Settore,Servizio da Vendere,Prezzo Indicativo,Note Strategiche (Claude),Esito e Note Giulia
Adomicilio Societa Cooperativa Sociale Onlus (Giussano),0362 852011,Cooperativa assistenza domiciliare,Servizi alla persona,DenkiShift,2 EUR/dipendente/mese,Personale sparso su domicili e orari diversi. Assistenza a domicilio: il caso peggiore da pianificare a mano,
Adomicilio Societa Cooperativa Sociale Onlus (Carate Brianza),0362 993673,Cooperativa assistenza domiciliare,Servizi alla persona,DenkiShift,2 EUR/dipendente/mese,Personale sparso su domicili e orari diversi. Seconda sede,
Adomicilio Societa Cooperativa Sociale Onlus (Brugherio),039 2142307,Cooperativa assistenza domiciliare,Servizi alla persona,DenkiShift,2 EUR/dipendente/mese,Personale sparso su domicili e orari diversi. Terza sede,
Societa Cooperativa Il Raggio Verde (Muggio),039 27011,Cooperativa sociale,Servizi alla persona,DenkiShift,2 EUR/dipendente/mese,Personale su piu servizi,
TS Brianza Service (Seregno),0362 281526,Cooperativa di servizi,Servizi alla persona,DenkiShift,2 EUR/dipendente/mese,Personale su piu commesse,
Kcs Caregiver Cooperativa Sociale (Carate Brianza),0362 805321,Cooperativa sociale,Servizi alla persona,DenkiShift,2 EUR/dipendente/mese,Personale su piu strutture,
Cooperativa Sociale Rieducazione Motoria Onlus (Cavenago di Brianza),02 95339553,Cooperativa sociale,Servizi alla persona,DenkiShift,2 EUR/dipendente/mese,Personale su turni. Fuori zona: chiamare solo se avanza tempo,
Dierre Pulizie (Verano Brianza),0362 354561,Impresa di pulizie,Servizi B2B,DenkiShift,2 EUR/dipendente/mese,Squadre su piu cantieri ogni giorno diversi. Numero fisso + cellulare: struttura organizzata,
Eco Coop Multiservice (Bovisio Masciago),0362 1971197,Impresa di pulizie,Servizi B2B,DenkiShift,2 EUR/dipendente/mese,Squadre su piu cantieri ogni giorno diversi. Cooperativa: probabile organico sopra le 10 persone,
Elite Facility Service (Cesano Maderno),0362 1826500,Impresa di pulizie,Servizi B2B,DenkiShift,2 EUR/dipendente/mese,Squadre su piu cantieri ogni giorno diversi. Facility: spesso gestisce piu appalti,
Impresa di Pulizie Caglio (Giussano),0362 904293,Impresa di pulizie,Servizi B2B,DenkiShift,2 EUR/dipendente/mese,Squadre su piu cantieri ogni giorno diversi,
La Corona (Carate Brianza),0362 1730158,Impresa di pulizie,Servizi B2B,DenkiShift,2 EUR/dipendente/mese,Squadre su piu cantieri ogni giorno diversi,
La Pulirendin (Muggio),039 795839,Impresa di pulizie,Servizi B2B,DenkiShift,2 EUR/dipendente/mese,Squadre su piu cantieri ogni giorno diversi,
Pulisplend 2.0 (Concorezzo),039 831649,Impresa di pulizie,Servizi B2B,DenkiShift,2 EUR/dipendente/mese,Squadre su piu cantieri ogni giorno diversi. Fuori zona: chiamare solo se avanza tempo,
D.P.M. Impresa di Pulizie (Mezzago),039 8965805,Impresa di pulizie,Servizi B2B,DenkiShift,2 EUR/dipendente/mese,Squadre su piu cantieri ogni giorno diversi. Fuori zona: chiamare solo se avanza tempo,
Igiene e Ambiente Srl (Roncello),393 8476643,Impresa di pulizie,Servizi B2B,DenkiShift,2 EUR/dipendente/mese,Srl quindi struttura ma solo cellulare. Fuori zona,
M.S. Service (Seveso),339 3639252,Impresa di pulizie,Servizi B2B,DenkiShift,2 EUR/dipendente/mese,Solo cellulare: qualificare la testa. In paese: se e piccola vale comunque come contatto per il porta-a-porta di Patrick,
Pcs Multiservice (Desio),348 4607017,Impresa di pulizie,Servizi B2B,DenkiShift,2 EUR/dipendente/mese,Solo cellulare: qualificare la testa. Multiservice: puo avere piu commesse,
Clean (Desio),389 6585352,Impresa di pulizie,Servizi B2B,DenkiShift,2 EUR/dipendente/mese,Solo cellulare: qualificare la testa,
BSA service (Giussano),348 2409558,Impresa di pulizie,Servizi B2B,DenkiShift,2 EUR/dipendente/mese,Solo cellulare: qualificare la testa,
SN Service (Lissone),349 0693903,Impresa di pulizie,Servizi B2B,DenkiShift,2 EUR/dipendente/mese,Solo cellulare: qualificare la testa,
L Artigiano del Pulito (Lissone),349 0962130,Impresa di pulizie,Servizi B2B,DenkiShift,2 EUR/dipendente/mese,Solo cellulare: qualificare la testa,
Al.Lo Impresa di Pulizie (Bovisio Masciago),366 7656590,Impresa di pulizie,Servizi B2B,DenkiShift,2 EUR/dipendente/mese,Solo cellulare: qualificare la testa,
Mogavero Pulizie (Cesano Maderno),335 6944951,Impresa di pulizie,Servizi B2B,DenkiShift,2 EUR/dipendente/mese,Solo cellulare: qualificare la testa,
Infinity Service Pulizie (Limbiate),327 9677231,Impresa di pulizie,Servizi B2B,DenkiShift,2 EUR/dipendente/mese,Solo cellulare: qualificare la testa,
Future Services (Albiate),348 7676564,Impresa di pulizie,Servizi B2B,DenkiShift,2 EUR/dipendente/mese,Solo cellulare: qualificare la testa,
