Nome Azienda,Telefono / Cellulare,Tipo Azienda,Settore,Servizio da Vendere,Prezzo Indicativo,Note Strategiche (Claude),Esito e Note Giulia
Stucchi & C. S.r.l. (Bovisio Masciago),0362 593753,Impiantistica e cantieri,Costruzione di strade e autostrade,D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Impiantistica e cantieri | ATECO 42.11 Costruzione di strade e autostrade | fatturato 2.106.774 EUR (2024) | dipendenti da 16 a 19 | 3 km da Seveso | Via Antonio Gramsci, 28 - | GANCIO: Stato avanzamento cantieri e SAL: quanto e' fatto e quanto e' fatturabile, per commessa | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/stucchi-c-srl-07853660152 | telefono: PG «stucchi» in bovisio masciago → Stucchi & C. S.r.l. | Via Gramsci Antonio, 28 - 20813 Bovisio Masciago (MB)",
Porada Arredi Srl (Cabiate),"031 766215, 031 768386","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di mobili per arredo domestico,D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 31.09.1 Fabbricazione di mobili per arredo domestico | fatturato 33.421.872 EUR (2024) | dipendenti da 50 a 99 | 6 km da Seveso | Via Buozzi, 2 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/porada-arredi-srl-00227270139 | telefono: PG «porada arredi» in cabiate → Porada Arredi S.r.l. | Via Buozzi, 2 - 22060 Cabiate (CO)",
N.t. Security Investigations S.r.l. (Cabiate),"339 8047793, 031 2075699",Pulizie e servizi strutturati,Servizi investigativi privati,C - DenkiShift (turni) + D - gestionale su misura,"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Pulizie e servizi strutturati | ATECO 80.3 Servizi investigativi privati | fatturato 1.863.790 EUR (2024) | dipendenti da 100 a 199 | 6 km da Seveso | Via Vittorio Emanuele Ii, 35 - | GANCIO: Turni multi-cantiere: chi va dove domani, sostituzioni e ore comprese | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/nt-security-investigations-srl-03438050134 | telefono: PG «security investigations» in cabiate → N.T. Security Investigations Srl | Via Vittorio Emanuele, 35 - 22060 Cabiate (CO)",
R.s.t. Impianti S.r.l. (Carimate),"331 5436845, 366 4106330, 366 4106330",Impiantistica e cantieri,Installazione di impianti elettrici in edifici o in altre opere di costruzione (inclusa manutenzione e riparazione),D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Impiantistica e cantieri | ATECO 43.21.01 Installazione di impianti elettrici in edifici o in altre opere di costruzione (inclusa manutenzione e riparazione) | fatturato 3.387.246 EUR (2024) | dipendenti da 10 a 15 | 9 km da Seveso | Via Puccini, 2 - | GANCIO: Rapportini di cantiere dal telefono: ore, materiali e stato commessa senza ribattitura in ufficio | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/rst-impianti-srl-03581590134 | telefono: PG «impianti» in carimate → R.S.T. Impianti S.r.l. | Via Giacomo Puccini, 2 - 22060 Carimate (CO)",
New Trans Srl (Carimate),031 792293,Logistica e trasporti,Trasporto di merci su strada,C - DenkiShift (turni) + D - gestionale su misura,"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Logistica e trasporti | ATECO 49.41 Trasporto di merci su strada | fatturato 2.687.697 EUR (2024) | dipendenti da 20 a 49 | 9 km da Seveso | Via Alla Stazione, 20/A - | GANCIO: Turni autisti e assegnazione mezzi, ore guidate senza il foglio in portineria | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/new-trans-srl-02266020961 | telefono: PG «new trans» in carimate → New Trans S.r.l. | Via Stazione, 20/A - 22060 Carimate (CO)",
Turri S.r.l. (Carugo),031 760111,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di mobili per arredo domestico,D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 31.09.1 Fabbricazione di mobili per arredo domestico | fatturato 36.996.676 EUR (2024) | dipendenti da 50 a 99 | 10 km da Seveso | Via Ugo Foscolo, 6 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/turri-srl-04108500135 | telefono: PG «turri» in carugo → Turri S.r.l. | Via Foscolo Ugo, 6 - 22060 Carugo (CO)",
Trifarma S.p.a. (Ceriano Laghetto),"02 9690018, 02 9690643","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di prodotti chimici vari per uso industriale (inclusi i preparati antidetonanti e antigelo),D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 20.59.4 Fabbricazione di prodotti chimici vari per uso industriale (inclusi i preparati antidetonanti e antigelo) | fatturato 27.139.294 EUR (2024) | dipendenti da 50 a 99 | 3.5 km da Seveso | Via Dell'industria, 6 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/trifarma-spa-06887600150 | telefono: PG «trifarma» in ceriano laghetto → Trifarma S.p.a. | Via Dell' Industria, 6 - 20816 Ceriano Laghetto (MB)",
Ida S.r.l. (Ceriano Laghetto),02 96460453,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)","Fabbricazione di pitture, vernici e smalti, inchiostri da stampa e adesivi sintetici (mastici)",D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 20.3 Fabbricazione di pitture, vernici e smalti, inchiostri da stampa e adesivi sintetici (mastici) | fatturato 14.792.379 EUR (2023) | dipendenti da 20 a 49 | 3.5 km da Seveso | Via Milano, 8 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/ida-srl-08786510969 | telefono: PG «ida» in ceriano laghetto → Ida S.r.l. | Via Milano, 8 - 20816 Ceriano Laghetto (MB)",
Casa Vinicola Natale Verga S.p.a. (Cermenate),"031 771143, 031 771168",Ingrosso e distribuzione,Commercio all'ingrosso di bevande alcoliche,D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Ingrosso e distribuzione | ATECO 46.34.1 Commercio all'ingrosso di bevande alcoliche | fatturato 44.617.947 EUR (2024) | dipendenti da 20 a 49 | 8 km da Seveso | Via Matteotti, 51/53 - | GANCIO: Sincronizzazione ordini/magazzino: giacenza vera mentre il cliente e' al telefono | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/casa-vinicola-natale-verga-spa-02745780136 | telefono: PG «casa vinicola natale verga» in cermenate → Casa Vinicola Natale Verga S.p.a. | Via Europa Unita, 13 - 22072 Cermenate (CO)",
G Technologies S.r.l. (Cermenate),"031 778597, 031 778592",Metalmeccanica e officine,Fabbricazione di altro materiale meccanico e di altre macchine di impiego generale nca,D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Metalmeccanica e officine | ATECO 28.29.99 Fabbricazione di altro materiale meccanico e di altre macchine di impiego generale nca | fatturato 10.278.446 EUR (2024) | dipendenti da 20 a 49 | 8 km da Seveso | Via Maestri Comacini, 12 - | GANCIO: Interventi e manutenzioni programmate: chi va da chi, con lo storico macchina | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/g-technologies-srl-03199580139 | telefono: PG «technologies» in cermenate → G Technologies S.r.l. | Via Maestri Comacini, 12 - 22072 Cermenate (CO)",
Edil Scavi F.lli Lefons S.r.l. (Cermenate),031 773205,Impiantistica e cantieri,Costruzione di edifici residenziali e non residenziali,D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Impiantistica e cantieri | ATECO 41.2 Costruzione di edifici residenziali e non residenziali | fatturato 3.021.209 EUR (2024) | dipendenti da 10 a 15 | 8 km da Seveso | Via Giovanni Xxiii, 39 - | GANCIO: Stato avanzamento cantieri e SAL: quanto e' fatto e quanto e' fatturabile, per commessa | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/edil-scavi-flli-lefons-srl-02872410135 | telefono: PG «edil scavi lli lefons» in cermenate → Edil Scavi F.lli Lefons | Via Papa Giovanni XXIII, 39 - 22072 Cermenate (CO)",
Jindal Nylon Films S.r.l. (Cesano Maderno),0362 1784,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di imballaggi in materie plastiche,D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 22.22 Fabbricazione di imballaggi in materie plastiche | fatturato 36.104.977 EUR (2024) | dipendenti da 50 a 99 | 2.5 km da Seveso | Via Marconato, 8 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/jindal-nylon-films-srl-13444130150 | telefono: PG «jindal nylon films» in cesano maderno → Jindal Nylon Films S.r.l. | Via Marconato G., 8 - 20811 Cesano Maderno (MB)",
Loxeal Srl (Cesano Maderno),"0362 553930, 0362 528200, 0362 529311","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di materie plastiche in forme primarie,D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 20.16 Fabbricazione di materie plastiche in forme primarie | fatturato 28.930.251 EUR (2024) | dipendenti da 50 a 99 | 2.5 km da Seveso | Via G. Marconato, 2 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/loxeal-srl-08991550156 | telefono: PG «loxeal» in cesano maderno → Loxeal S.r.l. | Via Marconato G., 2 - 20811 Cesano Maderno (MB)",
Suarez Company S.r.l. (Cesano Maderno),0362 501390,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di profumi e cosmetici,D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 20.42 Fabbricazione di profumi e cosmetici | fatturato 27.766.572 EUR (2024) | dipendenti da 20 a 49 | 2.5 km da Seveso | Via Pergolesi, 1 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/suarez-company-srl-11455930963 | telefono: PG «suarez company» in cesano maderno → Suarez Company S.r.l. | Via Pergolesi G. Battista, 1 - 20811 Cesano Maderno (MB)",
Omega-ifs S.r.l. (Cesano Maderno),0362 520177,Metalmeccanica e officine,Fabbricazione di articoli di bulloneria,D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Metalmeccanica e officine | ATECO 25.94 Fabbricazione di articoli di bulloneria | fatturato 10.486.182 EUR (2024) | dipendenti da 20 a 49 | 2.5 km da Seveso | Via Manzoni, 142 - | GANCIO: Tracciamento commesse in officina: quale pezzo a che fase, senza girare a chiedere | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/omega-ifs-srl-02419430968 | telefono: PG «omega ifs» in cesano maderno → Omega - Ifs S.r.l. | Via Manzoni Alessandro, 142 - 20811 Cesano Maderno (MB)",
A&t Fluid Solutions Srl (Cesano Maderno),0362 645951,Metalmeccanica e officine,Fabbricazione di apparecchiature fluidodinamiche,D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Metalmeccanica e officine | ATECO 28.12 Fabbricazione di apparecchiature fluidodinamiche | fatturato 9.733.651 EUR (2024) | dipendenti da 20 a 49 | 2.5 km da Seveso | Via Dei Mille, 1 - | GANCIO: Interventi e manutenzioni programmate: chi va da chi, con lo storico macchina | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/a-t-fluid-solutions-srl-02743430965 | telefono: PG «fluid solutions» in cesano maderno → A&T Fluid Solutions S.r.l. | Via dei Mille, 1 - 20811 Cesano Maderno (MB)",
Cesaplast Spa (Cesano Maderno),0362 501163,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di fogli da impiallacciatura e di pannelli a base di legno,D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 16.21 Fabbricazione di fogli da impiallacciatura e di pannelli a base di legno | fatturato 9.511.967 EUR (2024) | dipendenti da 20 a 49 | 2.5 km da Seveso | Via Matteotti, 0001 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/cesaplast-spa-00679910158 | telefono: PG «cesaplast» in cesano maderno → Cesaplast S.p.a. | Via Novara, 62 - 20811 Cesano Maderno (MB)",
Icotec Srl (Cesano Maderno),0362 551437,Impiantistica e cantieri,Altri lavori di costruzione e installazione nca,D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Impiantistica e cantieri | ATECO 43.29.09 Altri lavori di costruzione e installazione nca | fatturato 3.351.572 EUR (2024) | dipendenti da 10 a 15 | 2.5 km da Seveso | Via A. Manzoni, 154 - | GANCIO: Rapportini di cantiere dal telefono: ore, materiali e stato commessa senza ribattitura in ufficio | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/icotec-srl-02604740965 | telefono: PG «icotec» in cesano maderno → Icotec S.r.l. | Via Manzoni Alessandro, 154 - 20811 Cesano Maderno (MB)",
Dilancar Low Cost S.r.l. (Cesano Maderno),"0362 553385, 328 8230907",Logistica e trasporti,Altre attività di trasporti terrestri di passeggeri nca,C - DenkiShift (turni) + D - gestionale su misura,"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Logistica e trasporti | ATECO 49.39.09 Altre attività di trasporti terrestri di passeggeri nca | fatturato 2.854.434 EUR (2024) | dipendenti da 20 a 49 | 2.5 km da Seveso | Via Don Luigi Vigano', 47 - | GANCIO: Turni autisti e assegnazione mezzi, ore guidate senza il foglio in portineria | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/dilancar-low-cost-srl-08830860964 | telefono: PG «dilancar low cost» in cesano maderno → Dilancar Low Cost Srl | Via Don Luigi Viganò, 47 - 20811 Cesano Maderno (MB)",
Barison Impianti Srl (Cesano Maderno),0362 505264,Impiantistica e cantieri,"Installazione di impianti idraulici, di riscaldamento e di condizionamento dell'aria (inclusa manutenzione e riparazione) in edifici o in altre opere di costruzione",D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Impiantistica e cantieri | ATECO 43.22.01 Installazione di impianti idraulici, di riscaldamento e di condizionamento dell'aria (inclusa manutenzione e riparazione) in edifici o in altre opere di costruzione | fatturato 1.543.858 EUR (2024) | dipendenti da 16 a 19 | 2.5 km da Seveso | Via Nazionale Dei Giovi, 104 - | GANCIO: Rapportini di cantiere dal telefono: ore, materiali e stato commessa senza ribattitura in ufficio | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/barison-impianti-srl-00481190155 | telefono: PG «barison impianti» in cesano maderno → Barison Impianti | Via Nazionale dei Giovi, 104 - 20811 Cesano Maderno (MB)",
Novartiplast Italia Spa (Cogliate),02 9661121,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di altri articoli in materie plastiche nca,D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 22.29.09 Fabbricazione di altri articoli in materie plastiche nca | fatturato 6.767.523 EUR (2024) | dipendenti da 20 a 49 | 4 km da Seveso | Via Edmondo De Amicis, 0014 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/novartiplast-italia-spa-04728570153 | telefono: PG «novartiplast» in cogliate → Novartiplast Italia S.p.a. | Via De Amicis Edmondo, 14 - 20815 Cogliate (MB)",
