Nome Azienda,Telefono / Cellulare,Tipo Azienda,Settore,Servizio da Vendere,Prezzo Indicativo,Note Strategiche (Claude),Esito e Note Agente
HHS Health Hair Stylist (Meda),0362 1976787,Parrucchiere,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"VERIFICATO: nessun sito, solo Facebook con 57 like. Titolare Stefania Longoni. Orario continuato 9-18 mar-sab. GANCIO: 'la pagina Facebook ha 57 like: e' tutto quello che c'e' online'. SPIN-Implicazione: 'quanti clienti nuovi entrano in un mese senza essere mandati da qualcuno?'",
Acconciature Sam (Meda),0362 340639,Parrucchiere uomo e donna,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"VERIFICATO: nessun sito proprio. 165 recensioni raccolte da terzi, posizionamento 'low cost senza compromessi'. GANCIO: 'avete 165 recensioni e nessun posto vostro dove metterle'. SPIN-Necessita': 'se le recensioni stessero su una pagina sua invece che sulla scheda di un portale, a chi servirebbero?'",
Coco Artistic Team di Ziccardi Krizia (Meda),0362 344555,Parrucchiere uomo donna,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,VERIFICATO: nessun sito. Titolare Krizia Ziccardi. Attenzione: online circolano schede di omonimi a Milano e Rovigo. GANCIO: 'cercando Coco si trovano tre saloni diversi e nessuno e' il vostro'. SPIN-Problema: 'vi capita che qualcuno chiami il salone sbagliato?',
Stefania Beauty Salon (Meda),0362 686673,Parrucchiere e trucco,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"VERIFICATO: nessun sito, solo Instagram e Fresha. Fanno acconciatura e trucco sposa: servizio a scontrino alto, deciso mesi prima e cercato su Google. GANCIO: le spose. SPIN-Implicazione: 'quante spose all'anno, e quante vi hanno trovato da sole?'",
Anima & Corpo di Romeo Silvia (Cesano Maderno),0362 545337,Centro estetico,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"VERIFICATO: nessun sito. I domini con questo nome sono di centri di altre province: il nome e' occupato altrove. GANCIO: 'il vostro nome online porta a un centro di un'altra regione'. SPIN-Problema: 'chi la cerca per nome, dove finisce?'",
Centro Estetico Il Girasole di Cesana Cristina (Cesano Maderno),0362 553893,Centro estetico,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"VERIFICATO: nessun sito, solo Facebook. Titolare Cristina Cesana. GANCIO: chiedere di Cristina. OBIEZIONE 'ci penso' -> Blount-isolamento: 'a parte il tempo, c'e' altro?'. SPIN-Situazione: 'gli appuntamenti li prendete solo per telefono?'",
Beauty Artist (Cesano Maderno),0362 1336082,Centro estetico,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"VERIFICATO: nessun sito. In zona i concorrenti diretti un sito ce l'hanno (Beauty Therapy, Bottega del Benessere): siete gli unici senza. GANCIO: il confronto con le vicine, detto senza aggressivita'. SPIN-Implicazione: 'se una cliente nuova confronta tre centri su Google, voi in quella lista ci siete?'",
Jing Dou (Desio),0362 621598,Ristorante cinese,Ristorazione,Sito Vetrina,200 EUR + 180 EUR/anno,"VERIFICATO: nessun sito, solo Facebook. 627 recensioni, 4.1: volume alto. Ravioli fatti in casa, gelato alla rosa: roba da fotografare. GANCIO: i ravioli. SPIN-Problema: 'chi cerca cinese a Desio trova prima voi o la scheda di un portale?'",
Energy Societa Sportiva Dilettantistica (Desio),0362 300897,Palestra,Sport e fitness,Sito Vetrina,200 EUR + 180 EUR/anno,"VERIFICATO: nessun sito. Fatturato 2023 dichiarato 405.301 EUR: c'e' budget, manca la vetrina. Attiva dal 2005. GANCIO: 'vent'anni di attivita' e zero presenza online'. OBIEZIONE 'ci passano tutti i soci' -> Blount: spiazza ('i soci ce li avete gia': il sito serve a chi si iscrive a settembre'). SPIN-Implicazione: 'a settembre quanti si iscrivono dopo avervi cercato online?'",
Vecchia Brianza (Seveso),0362 503223,Hotel ristorante,Ristorazione,Sito Vetrina,200 EUR + 180 EUR/anno,"VERIFICATO: il dominio hotelvecchiabrianza.it NON RISPONDE. Restano solo Facebook e schede di terzi. E' un hotel+ristorante: senza sito le prenotazioni passano tutte dai portali. GANCIO: 'il vostro sito non si apre piu': lo sapevate?' - e' una notizia, non una vendita. SPIN-Implicazione: 'le camere quante ne prenotate dirette e quante da Booking?'",
Bistrot 59 (Seveso),339 7475980,Bistrot,Ristorazione,Sito Vetrina,200 EUR + 180 EUR/anno,"VERIFICATO: bistrot59.it risponde ma e' una pagina vuota da 436 byte, senza titolo ne' contenuto. Dominio comprato, sito mai fatto. GANCIO: 'avete il dominio ma dentro non c'e' niente'. OBIEZIONE 'ci stava lavorando uno' -> Voss-mirroring: 'uno?' -> emerge chi e' e perche' si e' fermato. SPIN-Necessita': 'se quel dominio mostrasse il menu del giorno, chi ci arriverebbe?'",
Moxi Sushi (Seveso),0362 1970394,Ristorante giapponese,Ristorazione,Sito Vetrina,200 EUR + 180 EUR/anno,"VERIFICATO: moxisushi.it NON RISPONDE. Era un OpenCart con ordini online (l'URL vecchio aveva index.php?route=common/home): avevano un e-commerce e l'hanno perso. GANCIO: 'il vostro sito con gli ordini non c'e' piu'. SPIN-Implicazione: 'da quando non si ordina piu' dal sito, gli ordini da asporto sono calati?'",
Pizzeria del Corso (Seveso),0362 506212,Pizzeria d'asporto,Ristorazione,Sito Vetrina,200 EUR + 180 EUR/anno,"VERIFICATO: pizzeriadelcorso.it non e' loro - reindirizza a JustEat come microsito promozionale. Consegnano a 1 EUR a domicilio. GANCIO: 'il dominio col vostro nome porta a JustEat'. SPIN-Implicazione (la piu' forte della lista): 'su una pizza da 8 EUR ordinata da JustEat, quanto vi resta? E se lo stesso ordine arrivasse da una pagina vostra?'",
Burnout Pub & Grill (Seveso),0362 685258,Pub e griglieria,Ristorazione,Sito Vetrina,200 EUR + 180 EUR/anno,"VERIFICATO: burnoutpub.com NON RISPONDE, anche se le schede lo citano ancora come sito ufficiale. Fanno serate con musica dal vivo. GANCIO: 'il vostro sito e' spento e le schede lo indicano ancora'. SPIN-Problema: 'le serate con la musica dove le annunciate?'",
Il Tramonto (Desio),0362 300986,Ristorante pizzeria,Ristorazione,Sito Vetrina,200 EUR + 180 EUR/anno,"VERIFICATO: il dominio ristorantepizzeria.desio.mb.it NON RISPONDE; resta solo una pagina su eatbu (piattaforma). La pizza ha vinto premi anche mondiali: materiale da vendere, vetrina no. GANCIO: i premi. SPIN-Necessita': 'i premi della pizza, oggi dove si leggono?'",
Pasnu (Lissone),039 2782379,Ristorante pizzeria e bar,Ristorazione,Sito Vetrina,200 EUR + 180 EUR/anno,"VERIFICATO: il sito era su wixsite.com (sottodominio gratuito) e oggi da' 404. Fanno anche ricariche e pagamento bollette: attivita' mista. GANCIO: 'la pagina Wix non c'e' piu''. OBIEZIONE 'l'avevo fatta io' -> Voss-calibrata: 'come faceva a tenerla aggiornata mentre teneva aperto?'. SPIN-Implicazione: 'quante ore ci ha messo, e quante ne ha oggi?'",
Pizza Express (Lissone),039 2450028,Pizzeria e kebab,Ristorazione,Sito Vetrina,200 EUR + 180 EUR/anno,VERIFICATO: pizzaexpresslissone.it citato dalle schede ma NON RISPONDE. Ordini via JustEat. GANCIO: 'il dominio col vostro nome e' scaduto'. SPIN-Implicazione: 'su ogni ordine JustEat quanto lasciate di commissione?',
Officina della Pizza (Lissone),039 4669810,Pizzeria,Ristorazione,Sito Vetrina,200 EUR + 180 EUR/anno,"VERIFICATO, ed e' il caso piu' grave della lista: officinadellapizzalissone.it oggi mostra un CASINO' ONLINE ('Kingmaker Casino'). Il dominio e' scaduto ed e' stato ricomprato da terzi. Attivi dal 2013, oltre 50 tipi di pizza, impasto 48 ore. GANCIO: dirglielo e basta, nei primi dieci secondi. SPIN-Implicazione: 'chi cerca la vostra pizzeria e trova un sito di scommesse, cosa pensa?'",
Dai Rosky Arancini e Pizza (Lissone),328 8072627,Rosticceria siciliana e pizzeria,Ristorazione,Sito Vetrina,200 EUR + 180 EUR/anno,"VERIFICATO: nessun dominio proprio, solo una pagina su xmenu.it (piattaforma di ordini). GANCIO: 'ordinare da voi si puo', ma su un sito che non e' vostro'. SPIN-Situazione: 'gli ordini online chi ve li gestisce?'",
La Rustica Ristorante Pizzeria Braceria (Seveso),0362 501045,Ristorante pizzeria braceria,Ristorazione,Sito Vetrina,200 EUR + 180 EUR/anno,"CORREZIONE: il sito CE L'HANNO - larusticapizzeria.it, WordPress con Elementor, funzionante. Il segnale vero e' l'eta': il footer e' fermo al 2019 e la struttura e' del 2015. Attivi dal 1986, braceria dal 2014, sale per banchetti e cerimonie. GANCIO: 'il vostro sito e' fermo al 2019 e non dice che avete la braceria e le sale'. NON dire 'non avete un sito': lo hanno e lo sanno. SPIN-Implicazione: 'quante cerimonie prenotate all'anno, e quante arrivano dal sito?'",
Osteria della Gabella (Desio),0362 308180,Osteria,Ristorazione,Sito Vetrina,200 EUR + 180 EUR/anno,"CORREZIONE: il sito CE L'HANNO - osteriadellagabella.it, vivo, ma il copyright e' fermo al 2018: sette anni. Camino d'inverno, giardino d'estate, il nome viene dalla gabella del sale. Storia forte, raccontata male. GANCIO: 'il sito e' del 2018'. SPIN-Necessita': 'la storia della gabella la raccontate a voce a ogni tavolo?'",
Desio Back School (Desio),0362 631431,Osteopatia e ginnastica posturale,Sanita' e benessere,Sito Vetrina,200 EUR + 180 EUR/anno,"CORREZIONE: il sito CE L'HANNO - desiobackschool.it, vivo, copyright 2018. Servizio sanitario: chi cerca 'osteopata Desio' confronta due o tre siti prima di chiamare. GANCIO: 'il vostro sito e' del 2018 e i concorrenti si sono rifatti'. SPIN-Implicazione: 'quanti pazienti nuovi al mese vi trovano da Google?'",
