Data,Da,Account IG,Nome,Comune,Segmento,Tipo,Lista
2026-09-03,Patrick Sappa,@enzo.fiori.varese,Enzo Fiori,Varese (VA),Fiorista,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@estetica_il_sogno,Estetica Il Sogno,Busto Arsizio (VA),Estetica/nail,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@fatcat_tattooshop,Fatcat Tattoo,Como (CO),Tattoo,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@haircentersimona,Hair Center Simona,Treviglio (BG),Parrucchieri,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@hcparrucchieri_olgiate,HC Parrucchieri,Olgiate Comasco (CO),Parrucchieri,recupero,lista del 12/09/2026
2026-09-03,Patrick Sappa,@hh_salon_gallarate,H&H Salon,Gallarate (VA),Parrucchieri/nail,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@il_diadema_caravaggio,Estetica Il Diadema,Caravaggio (BG),Estetica/nail,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@iltuostile.cdj,Il Tuo Stile - Degradé Joelle,Tradate (VA),Parrucchieri,recupero,lista del 12/09/2026
2026-09-03,Patrick Sappa,@ink_factory_tattooshop_,InkFactory TattooShop,Bergamo (BG),Tattoo/piercing,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@jigen_tattoo,Jigen Tattoo,Como (CO),Tattoo,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@julia.po.ph,Julia Po - fotografa gravidanza,Busto Arsizio (VA),Fotografo,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@ladymaryontattoo,Lady Maryon Tattoo,Bergamo (BG),Tattoo,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@lariogarden,Lario Garden - Federica Monti,Cernobbio (CO),Fiorista/wedding,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@le.trumilu.tattoo,Le Trumilu Tattoo,Varese (VA),Tattoo,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@londacislago,L'Onda Acconciature,Cislago (VA),Parrucchieri,recupero,lista del 12/09/2026
2026-09-03,Patrick Sappa,@lorientaletattoocurno,L'Orientale Tattoo World,Curno (BG),Tattoo/PMU,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@lucaparrucchiere,Luca Parrucchiere,Cassano Magnago (VA),Barber/parrucchieri,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@manu_di_forbici,Manu di Forbici,Treviglio (BG),Parrucchieri,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@manymany.tattoo,Many Many Tattoo,Busto Arsizio (VA),Tattoo/piercing,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@mascalzonetattoo,Mascalzone Tattoo,Lecco (LC),Tattoo,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@massimoesimone_barbershop,Massimo & Simone Barbershop,Gallarate (VA),Barber,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@minimaltattoovarese,Minimal Tattoo,Varese (VA),Tattoo,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@mr_pma_erba,Mr Pma Tattoo & Barber,Erba (CO),Tattoo/barber,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@mr_pma_lecco,Mr Pma Tattoo,Lecco (LC),Tattoo,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@newfantasy_parrucchieri,New Fantasy Acconciature,Lurate Caccivio (CO),Parrucchieri,recupero,lista del 12/09/2026
2026-09-03,Patrick Sappa,@next.bustoarsizio,Next Beauty Clinique,Busto Arsizio (VA),Estetica,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@nice.nails1118,Nice Nails,Treviglio (BG),Nail,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@ninfeaesteticabarzano,Ninfea Estetica e Benessere,Barzanò (LC),Estetica,recupero,lista del 12/09/2026
2026-09-03,Patrick Sappa,@noemiemotion,Noemi Emotion,Cassano Magnago (VA),Parrucchieri,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@paolofioribg,Paolo Fiori,Bergamo (BG),Fiorista,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@pettinatobiagio_parrucchiere,Kreatif Studio,Tradate (VA),Parrucchieri/barber,recupero,lista del 12/09/2026
2026-09-03,Patrick Sappa,@prestige_parrucchieri,Prestige Salon,Treviglio (BG),Parrucchieri,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@profumodilavanda,Profumo di Lavanda,Appiano Gentile (CO),Fiorista/wedding,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@sabry_hairsalon,Sabry Hair Salon,Oggiono (LC),Parrucchieri/estetica,recupero,lista del 12/09/2026
2026-09-03,Patrick Sappa,@sanax.ink,Chiara Sana - blackwork,Bergamo (BG),Tattoo,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@sara_circus_,Sara Circus - fineline,Bergamo (BG),Tattoo,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@sararusso_beauty,Little Beauty Diamond,Appiano Gentile (CO),PMU/estetica,recupero,lista del 12/09/2026
2026-09-03,Patrick Sappa,@sb.esteticaeunghie,SB Estetica e Unghie,Caronno Pertusella (VA),Estetica/nail,recupero,lista del 12/09/2026
2026-09-03,Patrick Sappa,@scaccomattotattoo,Scacco Matto Tattoo,Bosisio Parini (LC),Tattoo/piercing/PMU,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@sevenlakestattoo,Seven Lakes Tattoo & Piercing,Varese (VA),Tattoo/piercing,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@shari_tattooer,Shari Piras - Atelier Selva,Merate (LC),Tattoo,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@sintatattoo_como,Sinta Tattoo,Como (CO),Tattoo/piercing,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@skinline.esteticabenessere,Skinline Estetica & Benessere,Treviglio (BG),Estetica,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@sposiamoci_outlet_varese,Sposiamoci Outlet - abiti sposa,Varese (VA),Atelier sposa,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@stevelamurart,Steve La Mura - anime & manga,Saronno (VA),Tattoo,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@stone.treviglio,Stone - private tattoo studio,Treviglio (BG),Tattoo,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@studio.fotofantasy,Fotofantasy - fotografi di famiglia,Bergamo (BG),Fotografo,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@tattoo.club.bergamo,Tattoo Club Bergamo,Bergamo (BG),Tattoo,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@tattooextreme,Tattoo Extreme - Lello Citterio,Cantu (CO),Tattoo/piercing,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@tattoosuburbia,Tattoo Suburbia - Matteo Zanotti,Stezzano (BG),Tattoo/piercing,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@teskyo_piercing_shop,Teskyo Piercing Shop,Cantu (CO),Piercing/tattoo,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@unique___your_style_,Unique Your Style,Treviglio (BG),Parrucchieri,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@zeinaink_tattoostudio,Zeina Ink Tattoo Studio,Carugo (CO),Tattoo/piercing,primo,lista-corrente.csv
2026-09-08,Patrick Sappa,@napoletanopizzeriatrattoria,Napoletano Pizzeria Trattoria,Cermenate (CO),Pizzeria,primo,
2026-09-09,Patrick Sappa,@alambiccobesozzo,L'Alambicco,Besozzo (VA),Bar/vinoteca,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@albranca2020,Al Branca Ristorante,Luino (VA),Ristorante,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@almottarone,Ristorante Al Mottarone,Laveno Mombello (VA),Ristorante/pizzeria,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@alsestogusto,Al Sesto Gusto,Sesto Calende (VA),Ristorante/pizzeria,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@altrullo1974,Ristorante Pizzeria Al Trullo 1974,Lurate Caccivio (CO),Ristorante/pizzeria,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@alverde_mandello,Al Verde albergo e ristorante,Mandello del Lario (LC),Ristorante/albergo,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@angolo53,Pizzeria Angolo 53,Somma Lombardo (VA),Pizzeria,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@animalitostoelettatura,Animalitos Toelettatura,Bergamo (BG),Toelettatura,primo,2026-09-09-instagram-anello1-pet.csv
2026-09-09,Patrick Sappa,@beautydog.cantu,Toelettatura Beauty Dog,Cantù (CO),Toelettatura,primo,2026-09-09-instagram-anello1-pet.csv
2026-09-09,Patrick Sappa,@cherubinogelato,Gelateria Cherubino,Bergamo (BG),Gelateria,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@chic.gelateria,CHIC gelato senza glutine,Busto Arsizio (VA),Gelateria,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@comedincantotoelettatura,Come d'Incanto Toelettatura,Induno Olona (VA),Toelettatura,primo,2026-09-09-instagram-anello1-pet.csv
2026-09-09,Patrick Sappa,@contropelotoelettatura,Contropelo,Fenegrò (CO),Toelettatura,primo,2026-09-09-instagram-anello1-pet.csv
2026-09-09,Patrick Sappa,@crotto_buzzi,Ristorante Pizzeria Crotto Buzzi,Porto Ceresio (VA),Ristorante/pizzeria,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@cuoreditoelettatura,Cuore di Toelettatura,Busto Arsizio (VA),Toelettatura,primo,2026-09-09-instagram-anello1-pet.csv
2026-09-09,Patrick Sappa,@daaldo_lomazzo,Da Aldo Pizzeria & Ristorante,Lomazzo (CO),Pizzeria,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@dacaterinatoelettatura,Da Caterina Toelettatura,Olgiate Olona (VA),Toelettatura,recupero,2026-09-09-instagram-anello1-pet.csv
2026-09-09,Patrick Sappa,@dogeden.malnate,Dogeden ASD,Malnate (VA),Centro cinofilo,primo,2026-09-09-instagram-anello1-pet.csv
2026-09-09,Patrick Sappa,@doppio.zero_pizzeria,Doppio Zero,Busto Arsizio (VA),Pizzeria,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@douglasracletteriapizzeria,Douglas Racletteria Pizzeria,Bisuschio (VA),Pizzeria,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@edenbar_busto,EdenBar,Busto Arsizio (VA),Bar,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@empetytoelettatura,"Empety, Chiara e Claudio",Olgiate Comasco (CO),Toelettatura,primo,2026-09-09-instagram-anello1-pet.csv
2026-09-09,Patrick Sappa,@excaliburbargelateria,Excalibur bar gelateria,Cesana Brianza (LC),Bar/gelateria,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@flamexperience,Flame Eno Pizzeria e Griglieria,Erba (CO),Pizzeria,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@fly.cafe,Fly Cafe Pizzeria & Steakhouse,Malnate (VA),Pizzeria,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@gelateria.verderosa,Gelateria Verderosa,Bergamo (BG),Gelateria,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@gelateriadelborgobellagio,Gelateria del Borgo,Bellagio (CO),Gelateria,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@gelateriagemma,Gelateria Gemma dal 1970,Bergamo (BG),Gelateria,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@gelaterialavogliamatta_merate,Gelateria La Voglia Matta,Merate (LC),Gelateria/pasticceria,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@gelatoalquadrato,Gelato al Quadrato,Bergamo (BG),Gelateria,recupero,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@grano_86,Grano 86,Brivio (LC),Pizzeria,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@ilcapriccio.erba,Il Capriccio Ristorante & Pizzeria,Erba (CO),Ristorante/pizzeria,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@ilcasottinorestaurantofficial,Il Casottino,Fino Mornasco (CO),Ristorante/pizzeria,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@ilfornodelloste,Il Forno dell'Oste,Seriate (BG),Osteria/pizzeria,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@ilgaleone_valmadrera,Il Galeone,Valmadrera (LC),Ristorante/pizzeria,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@ilgirasolepizzeria1997,Pizzeria il Girasole,Lurago Marinone (CO),Pizzeria,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@ilristorantedipaolo,Il Ristorante di Paolo,Menaggio (CO),Ristorante,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@improntedibellezza.caniegatti,Impronte di Bellezza,Mornago (VA),Toelettatura,primo,2026-09-09-instagram-anello1-pet.csv
2026-09-09,Patrick Sappa,@la_vineria_merate,La Vineria,Merate (LC),Vineria con cucina,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@labautique_toelettatura,La Bautique Toelettatura (Veronica Valsecchi),Calolziocorte (LC),Toelettatura,primo,2026-09-09-instagram-anello1-pet.csv
2026-09-09,Patrick Sappa,@laboratorio_di_toelettatura,Laboratorio di Toelettatura (Vanity & Dog),Como (CO),Toelettatura,primo,2026-09-09-instagram-anello1-pet.csv
2026-09-09,Patrick Sappa,@lagazzellainverigo,La Gazzella Pizzeria & Steakhouse,Inverigo (CO),Pizzeria,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@legamidigustoluino,Legàmi di Gusto,Luino (VA),Pizzeria,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@loltrepizza2.laveno,"L'Oltrepizza 2, la Panuozzeria",Laveno Mombello (VA),Pizzeria,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@luckylook_toelettaturaoriggio,Lucky Look Toelettatura,Origgio (VA),Toelettatura,primo,2026-09-09-instagram-anello1-pet.csv
2026-09-09,Patrick Sappa,@mgcavourcernobbio,MGCavour Ristorante e Bar,Cernobbio (CO),Ristorante/bar,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@mio_pubpizzeria,Mio Pub & Pizzeria,Tradate (VA),Pub/pizzeria,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@originalpizzabustoarsizio,Original Pizza,Busto Arsizio (VA),Pizzeria,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@osarracino_pizzeria,Pizzeria O' Sarracino,Treviglio (BG),Pizzeria,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@osteriadeibulli,Osteria dei Bulli,Casatenovo (LC),Ristorante/pizzeria,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@papillonmalnate,Papillon Malnate,Malnate (VA),Pizzeria,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@passione_in_corte,Passione in Corte,Treviolo (BG),Ristorante/pizzeria,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@pasticceria.ofelee.merate,Pasticceria & Caffetteria L'Ôfelee,Merate (LC),Pasticceria,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@pasticceria_gelateria_cris,Pasticceria Gelateria Cris,Calolziocorte (LC),Pasticceria/gelateria,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@pizzeria.devita,Pizzeria De Vita,Angera (VA),Pizzeria,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@pizzeria.sapori.italiani,Pizzeria Sapori Italiani,Cassano Magnago (VA),Pizzeria,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@pizzeria_assaje_bergamo,Pizzeria Assaje,Bergamo (BG),Pizzeria,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@pizzeria_l_oasi,Pizzeria L'Oasi,Calolziocorte (LC),Pizzeria,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@pizzeria_lascommessa,La Scommessa,Arcisate (VA),Pizzeria,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@pizzeria_lobidu,Pizzeria Lobidù,Tradate (VA),Pizzeria,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@pizzeria_monte_solbiate_arno,Pizzeria Monte,Solbiate Arno (VA),Pizzeria,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@pizzeria_romeo_faloppio,Pizzeria Romeo,Faloppio (CO),Pizzeria,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@pizzeriacortegrande,Pizzeria Corte Grande,Lipomo (CO),Pizzeria,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@pizzeriadacicciocardano,Pizzeria da Ciccio,Cardano al Campo (VA),Pizzeria,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@pizzeriadalinoseriate,Pizzeria Da Lino,Seriate (BG),Pizzeria,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@pizzeriaquick_,Pizzeria Quick,Dalmine (BG),Pizzeria,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@pizzeriasmilecosta,Pizzeria Smile,Costa Masnaga (LC),Pizzeria,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@pizzeriatrevi_treviglio,Pizzeria Trevi,Treviglio (BG),Pizzeria,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@ristorante_piazzaabba,Piazza Abba La Reclame,Sesto Calende (VA),Ristorante/pizzeria,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@ristoranteatlantide,Ristorante Atlantide,Malnate (VA),Ristorante,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@ristoranteparsifal,Ristorante Pizzeria Parsifal,Treviolo (BG),Ristorante/pizzeria,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@ristorantesangiuseppe,Ristorante S. Giuseppe,Cernobbio (CO),Ristorante/albergo,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@ristorantetivoli,Ristorante Pizzeria Tivoli,Sesto Calende (VA),Ristorante/pizzeria,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@salonedellecoccole_varese,Salone delle Coccole,Varese (VA),Toelettatura,primo,2026-09-09-instagram-anello1-pet.csv
2026-09-09,Patrick Sappa,@scoobydoo_toelettatura_,Scoobydoo Toelettatura,Gallarate (VA),Toelettatura,primo,2026-09-09-instagram-anello1-pet.csv
2026-09-09,Patrick Sappa,@semaforo13_,Semaforo 13,Valmadrera (LC),Pizzeria/rosticceria,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@serendipitycocktails,Serendipity Cocktails & Food,Brivio (LC),Lounge bar/pizzeria,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@thedogsclub_asilopercani,The Dogs' Club,Como (CO),Asilo per cani,primo,2026-09-09-instagram-anello1-pet.csv
2026-09-09,Patrick Sappa,@therealpizzadream,Pizza Dream,Valmadrera (LC),Pizzeria,primo,2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
2026-09-09,Patrick Sappa,@toelettatura.perunpelo,Per un Pelo Toelettatura di Longoni Ambra,Nembro (BG),Toelettatura,primo,2026-09-09-instagram-anello1-pet.csv
2026-09-09,Patrick Sappa,@toelettatura_gabriella,Toelettatura Gabriella,Vergiate (VA),Toelettatura,primo,2026-09-09-instagram-anello1-pet.csv
2026-09-09,Patrick Sappa,@toelettatura_la_zampa,Toelettatura La Zampa,"Cantù, fraz. Mirabello (CO)",Toelettatura,primo,2026-09-09-instagram-anello1-pet.csv
2026-09-09,Patrick Sappa,@toelettatura_lovethedog,"Love the dog, Emanuela Massara","Tradate, fraz. Abbiate Guazzone (VA)",Toelettatura,primo,2026-09-09-instagram-anello1-pet.csv
2026-09-09,Patrick Sappa,@toelettatura_snoopy_gavirate,Toelettatura Snoopy,Gavirate (VA),Toelettatura,primo,2026-09-09-instagram-anello1-pet.csv
2026-09-09,Patrick Sappa,@toelettaturagiulietta,Toelettatura Giulietta,Varese (VA),Toelettatura,primo,2026-09-09-instagram-anello1-pet.csv
2026-09-09,Patrick Sappa,@unparadisoperiltuoamico,Un paradiso per il tuo amico (Emma),Bizzarone (CO),Pet sitting/pensione,primo,2026-09-09-instagram-anello1-pet.csv
2026-09-10,Patrick Sappa,@101caniegatti,101 Cani e Gatti,Merate (LC),Pet shop con toelettatura,primo,2026-09-10-instagram-animali-va-co-lc-bg-ti.csv
2026-09-10,Patrick Sappa,@_cristabel.nails_,Cristabel Nails,Como (CO),Onicotecnica,primo,2026-09-10-instagram-siti-va-co-lc-bg.csv
2026-09-10,Patrick Sappa,@alchimiahairexperience,L'Alchimia Hair Experience,Somma Lombardo (VA),Parrucchieri,primo,2026-09-10-instagram-siti-va-co-lc-bg.csv
2026-09-10,Patrick Sappa,@alessandra_nails_oggiono,"Alessandra Noto, onicotecnica",Oggiono (LC),Onicotecnica,primo,2026-09-10-instagram-siti-va-co-lc-bg.csv
2026-09-10,Patrick Sappa,@alyynails,Alyy Nails Studio,Lecco (LC),Onicotecnica,primo,2026-09-10-instagram-siti-va-co-lc-bg.csv
2026-09-10,Patrick Sappa,@andrea_lashmaker_bustoa,"EsteticAndrea, lashmaker",Busto Arsizio (VA),Lashmaker/estetica,primo,2026-09-10-instagram-siti-va-co-lc-bg.csv
2026-09-10,Patrick Sappa,@angel_estetica_cantu,Angel Estetica & Benessere,Cantù (CO),Estetica,primo,2026-09-10-instagram-siti-va-co-lc-bg.csv
2026-09-10,Patrick Sappa,@antheasaronno,Centro Estetico Anthea,Saronno (VA),Estetica,primo,2026-09-10-instagram-siti-va-co-lc-bg.csv
2026-09-10,Patrick Sappa,@autentiko_gusto_napoletano,Autentiko,Appiano Gentile (CO),Pizzeria/ristorante,primo,2026-09-10-instagram-denkishift-va-co-lc-bg.csv
2026-09-10,Patrick Sappa,@barber_garage_busto_arsizio,Barber Garage,Busto Arsizio (VA),Barber,primo,2026-09-10-instagram-siti-va-co-lc-bg.csv
