Nome Azienda,Telefono / Cellulare,Tipo Azienda,Settore,Servizio da Vendere,Prezzo Indicativo,Note Strategiche (Claude),Esito e Note Giulia
Bottega Ristobar (Seveso),0362 1794059,Ristobar,Ristorazione,Sito Vetrina,200 EUR + 180 EUR/anno,"Solo pagina Facebook, nessun sito. Ristobar: doppio servizio, bar e cucina. Quasi certamente ha turni: qualificare anche per DenkiShift.",
Burnout Pub & Grill (Seveso),0362 685258,Pub con cucina,Ristorazione,Sito Vetrina,200 EUR + 180 EUR/anno,"Solo pagina Facebook, nessun sito. Pub con griglia, apertura serale lunga. Due leve in una: sito per le serate, DenkiShift per i turni.",
Ab Hair Studio (Seveso),366 1447606,Parrucchiere,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"Nessun sito su Pagine Gialle. Due numeri in scheda, nessun sito. Chiedere quanto tempo passano al telefono a fissare appuntamenti: e' il costo che il sito toglie.",
Ar & Co' Parrucchieri (Seveso),0362 650423,Parrucchiere,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"Nessun sito su Pagine Gialle. Fisso e cellulare, nessun sito. Angolo: prenotazione online e listino visibile.",
Aemme Style di Montesano Antonella (Seveso),0362 540579,Parrucchiere,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"Nessun sito su Pagine Gialle. In Via San Carlo. Angolo: le foto dei lavori stanno sul telefono della titolare, non in una galleria che porta clienti.",
I Morandi Parrucchiere Uomo (Meda),0362 342274,Barbiere,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"Nessun sito su Pagine Gialle. Insegna storica, due sedi a Meda (l'altra in Viale Brianza). Due sedi senza sito: chiedere come comunicano gli orari delle due.",
I Morandi di Morandi Orlando e C. (Meda),0362 70284,Barbiere,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"Nessun sito su Pagine Gialle. Seconda sede della stessa insegna, Viale Brianza 43. Un solo si' copre tutte e due.",
Electa parrucchiere estetica (Meda),340 3239098,Parrucchiere ed estetica,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"Nessun sito su Pagine Gialle. Fa capelli ed estetica insieme: due listini, nessun posto dove leggerli.",
HHS Health Hair Stylist di Stefania Longoni (Meda),0362 1976787,Parrucchiere,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"Nessun sito su Pagine Gialle. Posizionamento 'health hair': e' un servizio da spiegare, e non c'e' una pagina che lo spieghi.",
Acconciature Sam (Meda),0362 340639,Parrucchiere,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,Nessun sito su Pagine Gialle. Angolo standard prenotazioni. Verificare quante poltrone: sotto le due e' un lead debole.,
Coco Artistic Team di Ziccardi Krizia (Meda),0362 344555,Parrucchiere,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"Nessun sito su Pagine Gialle. 'Artistic Team' vuol dire piu' persone: probabile organico da 3-5. Buon lead sito, possibile lead turni.",
Stefania Beauty Salon (Meda),0362 686673,Salone di bellezza,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,Nessun sito su Pagine Gialle. Salone di bellezza: capelli piu' estetica. Chiedere se il listino gira su carta.,
Bottega del Benessere di Eleonora Spano (Cesano Maderno),0362 933408,Centro estetico,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"Nessun sito su Pagine Gialle. Due indirizzi a Cesano (Piazza Monte Bianco e Via Molino Arese). Due sedi, zero sito: e' il caso piu' forte della lista.",
Bottega del Benessere - sede Molino Arese (Cesano Maderno),0362 1788648,Centro estetico,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,Nessun sito su Pagine Gialle. Seconda sede della stessa titolare. Chiamare una volta sola: chiedere di Eleonora Spano.,
Anima & Corpo di Romeo Silvia (Cesano Maderno),0362 545337,Centro estetico,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,Nessun sito su Pagine Gialle. Centro estetico a nome della titolare. Angolo: trattamenti a pacchetto che nessuno puo' leggere prima di entrare.,
Centro Estetico Il Girasole (Cesano Maderno),0362 553893,Centro estetico,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"Nessun sito su Pagine Gialle. Su Via Dante, strada centrale. Angolo prenotazioni e listino.",
EpiLate (Cesano Maderno),327 7320735,Epilazione e estetica,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"Nessun sito su Pagine Gialle. Solo cellulare. Specializzato sull'epilazione: e' una ricerca che la gente fa su Google, e li' non c'e'.",
Pulsazione (Cesano Maderno),375 5621900,Centro estetico,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"Nessun sito su Pagine Gialle. Solo cellulare, nome poco descrittivo: senza sito nessuno capisce cosa fanno prima di entrare.",
Beauty Artist (Cesano Maderno),0362 1336082,Centro estetico,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"Solo pagina Facebook, nessun sito. Solo Facebook. Angolo: i lavori stanno nei post, non in un portfolio.",
Domus Arredi (Lissone),039 794790,Negozio di arredamento,Arredamento,E-commerce,da 500 EUR + 360 EUR/anno,"Nessun sito su Pagine Gialle. Distretto del mobile e nessuna vendita online: vendono solo a chi entra in showroom. Qui la leva e' l'e-commerce, non la vetrina.",
Formarredo Due (Lissone),039 483933,Negozio di arredamento,Arredamento,E-commerce,da 500 EUR + 360 EUR/anno,"Nessun sito su Pagine Gialle. Showroom su Via Canova. Angolo: catalogo online con richiesta preventivo, non carrello.",
Viscardi Arreda (Lissone),039 482727,Negozio di arredamento,Arredamento,E-commerce,da 500 EUR + 360 EUR/anno,Nessun sito su Pagine Gialle. Arredamento su misura senza galleria online. Il portfolio e' la vendita.,
Meroni Arreda (Lissone),039 794723,Negozio di arredamento,Arredamento,E-commerce,da 500 EUR + 360 EUR/anno,"Nessun sito su Pagine Gialle. Sulla Nuova Valassina, passaggio alto. Chi passa in auto non si ferma: il sito e' il secondo passaggio.",
Tappezzeria dell'Orto (Lissone),039 461010,Tappezzeria,Arredamento,Sito Vetrina,200 EUR + 180 EUR/anno,"Nessun sito su Pagine Gialle. Tappezzeria artigiana: il prima-e-dopo di un divano rifatto e' il contenuto che vende, e non lo pubblica nessuno.",
Dassi Gino (Lissone),039 480329,Mobilificio,Arredamento,Sito Vetrina,200 EUR + 180 EUR/anno,Nessun sito su Pagine Gialle. Nome storico del distretto. Angolo: e' un patrimonio di lavori mai messo online.,
Maredivino (Desio),0362 620019,Ristorante di pesce,Ristorazione,Sito Vetrina,200 EUR + 180 EUR/anno,"Nessun sito su Pagine Gialle. Pesce e vino: scontrino medio alto, cliente che cerca prima online. Qui il sito manca dove serve di piu'.",
Il Tramonto (Desio),0362 300986,Ristorante,Ristorazione,Sito Vetrina,200 EUR + 180 EUR/anno,Nessun sito su Pagine Gialle. Su Via XXV Aprile. Angolo menu e prenotazione.,
Osteria della Gabella (Desio),0362 308180,Osteria,Ristorazione,Sito Vetrina,200 EUR + 180 EUR/anno,"Nessun sito su Pagine Gialle. Osteria: nome evocativo, zero presenza. Chiedere quante prenotazioni arrivano da fuori Desio.",
La Nostra (Desio),0362 638088,Ristorante,Ristorazione,Sito Vetrina,200 EUR + 180 EUR/anno,"Nessun sito su Pagine Gialle. Su Via per Seregno, arteria di passaggio fra due comuni. Bacino largo, vetrina digitale assente.",
Jing Dou (Desio),0362 621598,Ristorante cinese,Ristorazione,Sito Vetrina,200 EUR + 180 EUR/anno,"Solo pagina Facebook, nessun sito. Solo Facebook. Ristorazione etnica: il menu fotografato e' il 90% della decisione.",
Dai Rosky Arancini e Pizza (Lissone),328 8072627,Pizzeria e street food,Ristorazione,Sito Vetrina,200 EUR + 180 EUR/anno,"Nessun sito su Pagine Gialle. Arancini e pizza da asporto, solo cellulare. Angolo ordine online.",
Pasnu (Lissone),039 2782379,Pizzeria,Ristorazione,Sito Vetrina,200 EUR + 180 EUR/anno,Nessun sito su Pagine Gialle. Angolo asporto: chiedere quante telefonate perdono la sera del sabato.,
Pizza Express (Lissone),039 2450028,Pizzeria da asporto,Ristorazione,Sito Vetrina,200 EUR + 180 EUR/anno,"Nessun sito su Pagine Gialle. Il nome dice asporto: senza pagina ordini, ogni ordine costa una telefonata.",
Officina della Pizza (Lissone),039 4669810,Pizzeria,Ristorazione,Sito Vetrina,200 EUR + 180 EUR/anno,Nessun sito su Pagine Gialle. Su Via Matteotti. Angolo menu e asporto.,
Desio Back School (Desio),0362 631431,Palestra posturale,Sport e fitness,Sito Vetrina,200 EUR + 180 EUR/anno,"Nessun sito su Pagine Gialle. Ginnastica posturale: e' un servizio sanitario di fatto, lo cerca chi ha mal di schiena. Su Google non c'e'.",
Energy Societa Sportiva Dilettantistica (Desio),0362 300897,Palestra,Sport e fitness,Sito Vetrina,200 EUR + 180 EUR/anno,Nessun sito su Pagine Gialle. SSD con due numeri: struttura vera. Il calendario corsi e' il contenuto che manca.,
Scherma Desio S.S.D. (Desio),0362 302278,Societa sportiva - scherma,Sport e fitness,Sito Vetrina,200 EUR + 180 EUR/anno,"Nessun sito su Pagine Gialle. Societa' sportiva: vive di iscrizioni stagionali. Il sito serve a settembre, cioe' adesso.",
