Nome Azienda,Telefono / Cellulare,Tipo Azienda,Settore,Servizio da Vendere,Prezzo Indicativo,Note Strategiche (Claude),Esito e Note Agente
Fumagalli Isabella (Villasanta),039 304816,Parrucchiere donna,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"SITO: nessuno - verificato. Salone L'Oreal Professionnel: compare nella vetrina del fornitore, non in una propria. GANCIO: 'siete sul sito di L'Oreal ma non sul vostro'. SPIN-Problema: 'quella pagina la controllate voi o loro?'",
Beba Evolution (Villasanta),039 305389,Parrucchiere e salone di bellezza,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"CORREZIONE, il sito CE L'HANNO: bebaevolution.it, vivo, ma il copyright e' fermo al 2022. Questa NON e' una riga 'non avete un sito' - e' un restyling. GANCIO: 'il vostro sito e' fermo al 2022'. OBIEZIONE 'ce l'abbiamo gia'' -> Blount: accetta ('lo so, l'ho visto'), spiazza ('il problema non e' che manchi: e' che racconta il salone di tre anni fa'), chiedi. SPIN-Implicazione: 'i servizi che avete aggiunto da allora, dove si leggono?'",
Fondazione Casa Famiglia San Giuseppe Onlus (Vimercate),039 669122,Casa di riposo,Sanita' e assistenza,DenkiShift,2 EUR/dipendente/mese,"SEGNALE: H24 sette giorni. Fascia 10:00-12:00 o 14:30-16:00, mai al cambio turno. GANCIO: 'chi prepara i turni degli operatori?'. SPIN-Implicazione: 'quando manca qualcuno la domenica, quante telefonate servono per coprirlo?'",
Residenza Scaccabarozzi (Ornago),039 6011505,RSA,Sanita' e assistenza,DenkiShift,2 EUR/dipendente/mese,"SEGNALE: RSA, H24. QUALIFICA: 8-50 dipendenti. Sopra i 50 hanno gia' un HR imposto e la chiamata e' persa. SPIN-Situazione: 'quante persone sui turni?'",
Centro Maria Bambina (Bellusco),039 623636,Casa di riposo religiosa,Sanita' e assistenza,DenkiShift,2 EUR/dipendente/mese,"SEGNALE: H24. Ente religioso: decisione lenta e collegiale, ma zero concorrenza commerciale sopra. GANCIO: chiedere della coordinatrice, non del 'responsabile IT' che non esiste. SPIN-Problema: 'i turni li fate a mano?'",
Congregazione Religiosa Serve di Gesu Cristo (Agrate Brianza),039 650820,Struttura assistenziale religiosa,Sanita' e assistenza,DenkiShift,2 EUR/dipendente/mese,"SEGNALE: assistenza continuativa. Come sopra: linguaggio semplice, nessun gergo, nessuna pressione. SPIN-Situazione: 'quante persone lavorano sui turni?'",
Rsa Machiavelli 1 & 2 (Bernareggio),039 2265366,RSA - due strutture,Sanita' e assistenza,DenkiShift,2 EUR/dipendente/mese,"SEGNALE: DUE strutture sotto la stessa gestione = personale che si sposta e turni da incastrare su due sedi. E' il profilo migliore del blocco. GANCIO: le due sedi. SPIN-Implicazione: 'come sapete chi e' dove, in una giornata?'",
Rsa Villa San Clemente (Villasanta),039 2052393,RSA,Sanita' e assistenza,DenkiShift,2 EUR/dipendente/mese,"SEGNALE: H24. SPIN-Implicazione: 'un turno comunicato male quanto vi costa in straordinari a fine mese?' - portare il discorso sui soldi, non sulla comodita'.",
R.S.A. Villa Teruzzi (Concorezzo),039 6886187,RSA,Sanita' e assistenza,DenkiShift,2 EUR/dipendente/mese,"SEGNALE: H24. GANCIO: 'parlo con chi organizza i turni'. OBIEZIONE 'abbiamo gia' un gestionale' -> Voss-mirroring: 'un gestionale?' -> capire se e' HR vero o un foglio condiviso. Se e' Excel, la porta e' aperta.",
RSA Anna e Guido Fossati (Monza),039 836162,RSA,Sanita' e assistenza,DenkiShift,2 EUR/dipendente/mese,SEGNALE: H24. Monza e' fuori dall'asse est stretto ma dentro il raggio: tenerla per ultima nella giornata. SPIN-Situazione: 'quanti operatori in organico?',
Istituto Geriatrico Vergani e Bassi Onlus (Gorgonzola),02 9513379,Istituto geriatrico,Sanita' e assistenza,DenkiShift,2 EUR/dipendente/mese,"SEGNALE: H24, istituto strutturato. Verificare la soglia dei 50: se sono grandi, la decisione non e' locale. SPIN-Situazione: 'i turni li decidete qui o arrivano dall'alto?'",
Valaperta Alessandro (Villasanta),347 5881208,Impresa di pulizie,Servizi B2B,DenkiShift,2 EUR/dipendente/mese,"SEGNALE: multi-cantiere, orari diversi ogni giorno. Chiamare 9:30-11:30, non prima delle 9 (sono sui cantieri). GANCIO: 'come sanno i suoi dove andare domani mattina?'. SPIN-Implicazione: 'se uno sbaglia cantiere quanto perdete?'",
Deep Clean (Arcore),351 3627404,Impresa di pulizie,Servizi B2B,DenkiShift,2 EUR/dipendente/mese,SEGNALE: multi-cantiere. Cellulare = titolare in linea al primo colpo. QUALIFICA sulla soglia degli 8 prima di raccontare qualsiasi cosa.,
Sylvanu Slowe (Agrate Brianza),388 4459593,Impresa di pulizie,Servizi B2B,DenkiShift,2 EUR/dipendente/mese,SEGNALE: multi-cantiere. Ditta piccola: molto probabile 'Troppo piccoli'. Si qualifica in trenta secondi e si passa oltre senza insistere - il tempo di Edoardo vale piu' della riga.,
D.P.M. Impresa di Pulizie (Mezzago),347 3959832,Impresa di pulizie,Servizi B2B,DenkiShift,2 EUR/dipendente/mese,SEGNALE: multi-cantiere. SPIN-Problema: 'capita che un cliente vi dica che non e' passato nessuno?' - e' la ferita tipica del settore.,
Omnialabor (Brugherio),333 2315381,Impresa di pulizie e servizi,Servizi B2B,DenkiShift,2 EUR/dipendente/mese,"SEGNALE: multiservizi = piu' tipi di squadra. GANCIO: 'quante squadre in giro in una giornata?'. SPIN-Implicazione: 'il monte ore per persona chi lo tiene, e su cosa?'",
Magic Clean - Pulizie e Sanificazioni (Monza),347 4641687,Impresa di pulizie e sanificazioni,Servizi B2B,DenkiShift,2 EUR/dipendente/mese,"SEGNALE: pulizie E sanificazioni = due tipi di squadra e due calendari, spesso sugli stessi cantieri. GANCIO: proprio questo. SPIN-Implicazione: 'come incastrate una sanificazione straordinaria e le pulizie fisse nella stessa settimana?'",
Carrozzeria Valli (Vimercate),039 669084,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"NON SI VENDE: si porta al form. Ogni vettura e' una commessa con perizia, ricambi e tempi di consegna. La domanda e' una sola e va fatta cosi': 'dove segnate a che punto e' ogni vettura, e come sapete quando esce?'. OBIEZIONE 'lo so a memoria' -> Voss-labeling: 'sembra che finora abbia funzionato'. SPIN-Implicazione: 'quando il cliente chiama per sapere se e' pronta, chi glielo dice?'",
Autocarrozzeria Bonino Massimo (Vimercate),039 668656,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"NON SI VENDE: si porta al form. Ogni vettura e' una commessa con perizia, ricambi e tempi di consegna. La domanda e' una sola e va fatta cosi': 'dove segnate a che punto e' ogni vettura, e come sapete quando esce?'. OBIEZIONE 'lo so a memoria' -> Voss-labeling: 'sembra che finora abbia funzionato'. SPIN-Implicazione: 'quando il cliente chiama per sapere se e' pronta, chi glielo dice?'",
Carrozzeria Cognolato (Vimercate),039 666160,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"NON SI VENDE: si porta al form. Ogni vettura e' una commessa con perizia, ricambi e tempi di consegna. La domanda e' una sola e va fatta cosi': 'dove segnate a che punto e' ogni vettura, e come sapete quando esce?'. OBIEZIONE 'lo so a memoria' -> Voss-labeling: 'sembra che finora abbia funzionato'. SPIN-Implicazione: 'quando il cliente chiama per sapere se e' pronta, chi glielo dice?' NOTA: stesso numero della Carrozzeria Ronco di Villa Marco - verificare con quale insegna rispondono, potrebbe essere una sola realta'.",
Carrozzeria Valli S.n.c. di Valli Mario (Vimercate),039 6083133,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"NON SI VENDE: si porta al form. Ogni vettura e' una commessa con perizia, ricambi e tempi di consegna. La domanda e' una sola e va fatta cosi': 'dove segnate a che punto e' ogni vettura, e come sapete quando esce?'. OBIEZIONE 'lo so a memoria' -> Voss-labeling: 'sembra che finora abbia funzionato'. SPIN-Implicazione: 'quando il cliente chiama per sapere se e' pronta, chi glielo dice?'",
Rosso Igor (Vimercate),334 9757377,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"NON SI VENDE: si porta al form. Ogni vettura e' una commessa con perizia, ricambi e tempi di consegna. La domanda e' una sola e va fatta cosi': 'dove segnate a che punto e' ogni vettura, e come sapete quando esce?'. OBIEZIONE 'lo so a memoria' -> Voss-labeling: 'sembra che finora abbia funzionato'. SPIN-Implicazione: 'quando il cliente chiama per sapere se e' pronta, chi glielo dice?'",
Service Network S.r.l.s. (Vimercate),039 6083620,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"NON SI VENDE: si porta al form. Ogni vettura e' una commessa con perizia, ricambi e tempi di consegna. La domanda e' una sola e va fatta cosi': 'dove segnate a che punto e' ogni vettura, e come sapete quando esce?'. OBIEZIONE 'lo so a memoria' -> Voss-labeling: 'sembra che finora abbia funzionato'. SPIN-Implicazione: 'quando il cliente chiama per sapere se e' pronta, chi glielo dice?' NOTA: S.r.l.s. recente - impresa giovane, piu' aperta a un gestionale nuovo di una bottega storica.",
E.Go. Car di Gori Enrico (Burago di Molgora),338 4558571,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"NON SI VENDE: si porta al form. Ogni vettura e' una commessa con perizia, ricambi e tempi di consegna. La domanda e' una sola e va fatta cosi': 'dove segnate a che punto e' ogni vettura, e come sapete quando esce?'. OBIEZIONE 'lo so a memoria' -> Voss-labeling: 'sembra che finora abbia funzionato'. SPIN-Implicazione: 'quando il cliente chiama per sapere se e' pronta, chi glielo dice?'",
Nuova Diamond Car Centro Revisione (Arcore),039 6015792,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"NON SI VENDE: si porta al form. Ogni vettura e' una commessa con perizia, ricambi e tempi di consegna. La domanda e' una sola e va fatta cosi': 'dove segnate a che punto e' ogni vettura, e come sapete quando esce?'. OBIEZIONE 'lo so a memoria' -> Voss-labeling: 'sembra che finora abbia funzionato'. SPIN-Implicazione: 'quando il cliente chiama per sapere se e' pronta, chi glielo dice?' NOTA: fanno anche revisioni = agenda a slot oltre alle commesse. Chiedere come incastrano le due cose.",
Khs Italia - Il Carrozziere Lampo (Arcore),039 616035,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"NON SI VENDE: si porta al form. Ogni vettura e' una commessa con perizia, ricambi e tempi di consegna. La domanda e' una sola e va fatta cosi': 'dove segnate a che punto e' ogni vettura, e come sapete quando esce?'. OBIEZIONE 'lo so a memoria' -> Voss-labeling: 'sembra che finora abbia funzionato'. SPIN-Implicazione: 'quando il cliente chiama per sapere se e' pronta, chi glielo dice?' NOTA: il nome promette tempi rapidi ('Lampo'): la domanda sui tempi di consegna li tocca dove si sono posizionati.",
Topcar Solution S.a.s. di Zagari (Villasanta),039 8965690,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"NON SI VENDE: si porta al form. Ogni vettura e' una commessa con perizia, ricambi e tempi di consegna. La domanda e' una sola e va fatta cosi': 'dove segnate a che punto e' ogni vettura, e come sapete quando esce?'. OBIEZIONE 'lo so a memoria' -> Voss-labeling: 'sembra che finora abbia funzionato'. SPIN-Implicazione: 'quando il cliente chiama per sapere se e' pronta, chi glielo dice?'",
Carrozzeria F.lli Casiraghi (Agrate Brianza),039 650688,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"NON SI VENDE: si porta al form. Ogni vettura e' una commessa con perizia, ricambi e tempi di consegna. La domanda e' una sola e va fatta cosi': 'dove segnate a che punto e' ogni vettura, e come sapete quando esce?'. OBIEZIONE 'lo so a memoria' -> Voss-labeling: 'sembra che finora abbia funzionato'. SPIN-Implicazione: 'quando il cliente chiama per sapere se e' pronta, chi glielo dice?'",
Carrozzeria Magni Luigi (Usmate Velate),039 670604,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"NON SI VENDE: si porta al form. Ogni vettura e' una commessa con perizia, ricambi e tempi di consegna. La domanda e' una sola e va fatta cosi': 'dove segnate a che punto e' ogni vettura, e come sapete quando esce?'. OBIEZIONE 'lo so a memoria' -> Voss-labeling: 'sembra che finora abbia funzionato'. SPIN-Implicazione: 'quando il cliente chiama per sapere se e' pronta, chi glielo dice?'",
Carrozzeria Guerra (Usmate Velate),039 670189,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"NON SI VENDE: si porta al form. Ogni vettura e' una commessa con perizia, ricambi e tempi di consegna. La domanda e' una sola e va fatta cosi': 'dove segnate a che punto e' ogni vettura, e come sapete quando esce?'. OBIEZIONE 'lo so a memoria' -> Voss-labeling: 'sembra che finora abbia funzionato'. SPIN-Implicazione: 'quando il cliente chiama per sapere se e' pronta, chi glielo dice?'",
Borelli Jvan (Villasanta),039 304737,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"NON SI VENDE: si porta al form. Ogni vettura e' una commessa con perizia, ricambi e tempi di consegna. La domanda e' una sola e va fatta cosi': 'dove segnate a che punto e' ogni vettura, e come sapete quando esce?'. OBIEZIONE 'lo so a memoria' -> Voss-labeling: 'sembra che finora abbia funzionato'. SPIN-Implicazione: 'quando il cliente chiama per sapere se e' pronta, chi glielo dice?'",
Carrozzeria Sprint S.r.l. (Concorezzo),039 6203045,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"NON SI VENDE: si porta al form. Ogni vettura e' una commessa con perizia, ricambi e tempi di consegna. La domanda e' una sola e va fatta cosi': 'dove segnate a che punto e' ogni vettura, e come sapete quando esce?'. OBIEZIONE 'lo so a memoria' -> Voss-labeling: 'sembra che finora abbia funzionato'. SPIN-Implicazione: 'quando il cliente chiama per sapere se e' pronta, chi glielo dice?'",
Mt Ottica S.a.s. di Torresani Maurizio (Concorezzo),039 6886286,Ottica,Commercio al dettaglio,E-commerce,da 500 EUR + 360 EUR/anno,"VERIFICATO col metro giusto: il sito CE L'HANNO (mtottica.it, analisi visiva, Concorezzo confermato) ma NON VENDE ONLINE - nessun carrello. Il concorrente a 300 metri, Radaelli Ottica, il carrello ce l'ha: e' la leva. GANCIO: 'il vostro sito racconta, quello di Radaelli vende'. NON dire 'non avete un sito'. SPIN-Implicazione: 'quanti clienti comprano lenti a contatto online invece che da voi?'",
