Nome Azienda,Telefono / Cellulare,Tipo Azienda,Settore,Servizio da Vendere,Prezzo Indicativo,Note Strategiche (Claude),Esito e Note Giulia
Caronni S.r.l. (Bovisio Masciago),0362 559383,Ingrosso e distribuzione,Commercio all'ingrosso di altre macchine e attrezzature per ufficio,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Ingrosso e distribuzione | ATECO 46.66 Commercio all'ingrosso di altre macchine e attrezzature per ufficio | fatturato 1.564.246 EUR (2023) | dipendenti da 6 a 9 | 3 km da Seveso | Strada Statale Dei Giovi, 17 - | GANCIO: Sincronizzazione ordini/magazzino: giacenza vera mentre il cliente e' al telefono | fonte companyreports.it/caronni-srl-07983290151 | telefono: PG «caronni» in bovisio masciago → Caronni S.r.l. | Strada Statale dei Giovi, 17 - 20813 Bovisio Masciago (MB)",
Infraservice Srl (Bovisio Masciago),0362 284244,Ingrosso e distribuzione,"Commercio all'ingrosso di computer, apparecchiature informatiche periferiche e di software",D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Ingrosso e distribuzione | ATECO 46.51 Commercio all'ingrosso di computer, apparecchiature informatiche periferiche e di software | fatturato 1.539.547 EUR (2024) | dipendenti da 6 a 9 | 3 km da Seveso | Via Maestri Del Lavoro, 20 - | GANCIO: Sincronizzazione ordini/magazzino: giacenza vera mentre il cliente e' al telefono | fonte companyreports.it/infraservice-srl-06963770968 | telefono: PG «infraservice» in bovisio masciago → Infraservice S.r.l. | Via Maestri del Lavoro, 20 - 20813 Bovisio Masciago (MB)",
Lucon S.r.l. (Bovisio Masciago),0362 591867,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di sedili per autoveicoli,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 29.32.01 Fabbricazione di sedili per autoveicoli | fatturato 1.140.232 EUR (2024) | dipendenti da 16 a 19 | 3 km da Seveso | Via Marzabotto, 47 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/lucon-srl-09811870964 | telefono: PG «lucon» in bovisio masciago → Lucon | Via di Vittorio Giuseppe, 14 - 20813 Bovisio Masciago (MB)",
Provasi Srl (Cabiate),0362 23301,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di mobili,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 31 Fabbricazione di mobili | fatturato 9.226.575 EUR (2024) | dipendenti da 20 a 49 | 6 km da Seveso | Via Padulli, 98 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/provasi-srl-00305860132 | telefono: PG «provasi» in cabiate → Provasi Srl | Via Padulli, 98 - 22060 Cabiate (CO)",
Italtex Spa (Cabiate),"031 766301, 031 767585","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Tessitura,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 13.2 Tessitura | fatturato 8.322.076 EUR (2024) | dipendenti da 20 a 49 | 6 km da Seveso | Via Piave, 3 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/italtex-spa-00199960139 | telefono: PG «italtex» in cabiate → Italtex S.p.a. | Via Piave, 3 - 22060 Cabiate (CO)",
Minotti Collezioni Srl (Cabiate),031 7690072,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di mobili per arredo domestico,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 31.09.1 Fabbricazione di mobili per arredo domestico | fatturato 8.085.560 EUR (2024) | dipendenti da 10 a 15 | 6 km da Seveso | Via Buozzi, 46 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/minotti-collezioni-srl-00199810136 | telefono: PG «minotti collezioni» in cabiate → Minotti Collezioni S.r.l. | Via Buozzi, 46 - 22060 Cabiate (CO)",
Maroni S.r.l. (Cabiate),031 769120,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di mobili,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 31 Fabbricazione di mobili | fatturato 5.007.733 EUR (2024) | dipendenti da 20 a 49 | 6 km da Seveso | Via Europa, 18 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/maroni-srl-02707740136 | telefono: PG «maroni» in cabiate → Maroni S.r.l. | Via Guzman, 6 - 22060 Cabiate (CO)",
Ronzoni Srl (Cabiate),031 3559040,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di poltrone e divani,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 31.09.3 Fabbricazione di poltrone e divani | fatturato 4.172.690 EUR (2024) | dipendenti da 50 a 99 | 6 km da Seveso | Via De Amicis, 39 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/ronzoni-srl-00371390139 | telefono: PG «ronzoni» in cabiate → Ronzoni | Via Edmondo De Amicis, 39 - 22060 Cabiate (CO)",
Improvet S.r.l. (Ceriano Laghetto),02 92274575,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Produzione di prodotti per l'alimentazione degli animali da compagnia,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 10.92 Produzione di prodotti per l'alimentazione degli animali da compagnia | fatturato 4.502.743 EUR (2024) | dipendenti da 16 a 19 | 3.5 km da Seveso | Via Mazzini, 237 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/improvet-srl-04499400960 | telefono: PG «improvet» in ceriano laghetto → Improvet S.r.l. | Via Mazzini, 237 - 20816 Ceriano Laghetto (MB)",
Sisco Sistem Line S.r.l. (Ceriano Laghetto),02 96460297,Ingrosso e distribuzione,Commercio all'ingrosso di articoli in ferro e in altri metalli (ferramenta),D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Ingrosso e distribuzione | ATECO 46.74.1 Commercio all'ingrosso di articoli in ferro e in altri metalli (ferramenta) | fatturato 2.015.024 EUR (2024) | dipendenti da 10 a 15 | 3.5 km da Seveso | Via Milano, 8 - | GANCIO: Sincronizzazione ordini/magazzino: giacenza vera mentre il cliente e' al telefono | fonte companyreports.it/sisco-sistem-line-srl-02593190966 | telefono: PG «sisco sistem line» in ceriano laghetto → Sisco Sistem Line S.r.l. | Via Milano, 8 - 20816 Ceriano Laghetto (MB)",
P.g. International Inox S.r.l. (Ceriano Laghetto),02 9663046,Metalmeccanica e officine,Lavori di meccanica generale,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Metalmeccanica e officine | ATECO 25.62 Lavori di meccanica generale | fatturato 1.160.012 EUR (2024) | dipendenti da 6 a 9 | 3.5 km da Seveso | Via Milano, 8 - | GANCIO: Tracciamento commesse in officina: quale pezzo a che fase, senza girare a chiedere | fonte companyreports.it/pg-international-inox-srl-07040430964 | telefono: PG «international inox» in ceriano laghetto → P.G. International Inox S.r.l. | Via Milano, 8 - 20816 Ceriano Laghetto (MB)",
A.f. Saldature Di Flavio Ferretto S.r.l. (Ceriano Laghetto),02 99692214,Metalmeccanica e officine,Lavori di meccanica generale,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Metalmeccanica e officine | ATECO 25.62 Lavori di meccanica generale | fatturato 1.041.987 EUR (2024) | dipendenti da 6 a 9 | 3.5 km da Seveso | Via Milano, 8 - | GANCIO: Tracciamento commesse in officina: quale pezzo a che fase, senza girare a chiedere | fonte companyreports.it/af-saldature-di-flavio-ferretto-srl-06936880969 | telefono: PG «saldature flavio ferretto» in ceriano laghetto → A.F. Saldature di Flavio Ferretto s.r l. | Via Milano, 8 - 20816 Ceriano Laghetto (MB)",
Edilmarket S.r.l. (Cermenate),02 9662448,Metalmeccanica e officine,Trafilatura a freddo,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Metalmeccanica e officine | ATECO 24.34 Trafilatura a freddo | fatturato 10.316.882 EUR (2022) | dipendenti da 16 a 19 | 8 km da Seveso | Vicolo Rospini, 1 - | GANCIO: Tracciamento commesse in officina: quale pezzo a che fase, senza girare a chiedere | fonte companyreports.it/edilmarket-srl-06673500150 | telefono: PG «edilmarket» in cermenate → Edilmarket | Vicolo Rospini, 1 - 22072 Cermenate (CO)",
Cofer S.r.l. (Cermenate),"031 778871, 02 66111236",Metalmeccanica e officine,Fabbricazione di altre macchine di impiego generale,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Metalmeccanica e officine | ATECO 28.2 Fabbricazione di altre macchine di impiego generale | fatturato 2.109.796 EUR (2024) | dipendenti da 6 a 9 | 8 km da Seveso | Via Amendola, 1 - | GANCIO: Interventi e manutenzioni programmate: chi va da chi, con lo storico macchina | fonte companyreports.it/cofer-srl-03053910133 | telefono: PG «cofer» in cermenate → Cofer S.r.l. | Via Amendola, 1 - 22072 Cermenate (CO)",
Giussani Enrico E Figli Srl (Cesano Maderno),"0362 540650, 0362 506392, 0362 500064","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)","Fabbricazione di mattoni, tegole ed altri prodotti per l'edilizia in terracotta",D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 23.32 Fabbricazione di mattoni, tegole ed altri prodotti per l'edilizia in terracotta | fatturato 7.386.184 EUR (2024) | dipendenti da 10 a 15 | 2.5 km da Seveso | Via Sicilia, 0030 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/giussani-enrico-figli-srl-00679390153 | telefono: PG «giussani enrico figli» in cesano maderno → Giussani Enrico & Figli S.r.l. | Via Sicilia, 30 - 20811 Cesano Maderno (MB)",
Sepra S.r.l. (Cesano Maderno),"0362 575091, 0362 575154, 0362 825967",Ingrosso e distribuzione,"COMMERCIO ALL'INGROSSO DI ALTRI MACCHINARI  ATTREZZATURE E FORNITURE Commercio all'ingrosso di altri macchinari, attrezzature e forniture",D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Ingrosso e distribuzione | ATECO 46.6 COMMERCIO ALL'INGROSSO DI ALTRI MACCHINARI  ATTREZZATURE E FORNITURE Commercio all'ingrosso di altri macchinari, attrezzature e forniture | fatturato 6.634.778 EUR (2024) | dipendenti da 10 a 15 | 2.5 km da Seveso | Via Como, 69/A - | GANCIO: Sincronizzazione ordini/magazzino: giacenza vera mentre il cliente e' al telefono | fonte companyreports.it/sepra-srl-10077160157 | telefono: PG «sepra» in cesano maderno → Sepra S.r.l. | Via Como, 69/A - 20811 Cesano Maderno (MB)",
Gsa S.r.l. (Cesano Maderno),0362 287759,Metalmeccanica e officine,Fabbricazione di altri articoli metallici e minuteria metallica nca,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Metalmeccanica e officine | ATECO 25.99.99 Fabbricazione di altri articoli metallici e minuteria metallica nca | fatturato 4.446.102 EUR (2024) | dipendenti da 6 a 9 | 2.5 km da Seveso | Via Manzoni, 146 - | GANCIO: Tracciamento commesse in officina: quale pezzo a che fase, senza girare a chiedere | fonte companyreports.it/gsa-srl-05538410969 | telefono: PG «gsa» in cesano maderno → Gsa S.r.l. | Via Mascagni Pietro, 15 - 20811 Cesano Maderno (MB)",
Ceppi Legnami Srl (Cesano Maderno),0362 508537,Ingrosso e distribuzione,"Commercio all'ingrosso di legname, semilavorati in legno e legno artificiale",D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Ingrosso e distribuzione | ATECO 46.73.1 Commercio all'ingrosso di legname, semilavorati in legno e legno artificiale | fatturato 4.045.217 EUR (2024) | dipendenti da 10 a 15 | 2.5 km da Seveso | Via Tiepolo, 14 - | GANCIO: Sincronizzazione ordini/magazzino: giacenza vera mentre il cliente e' al telefono | fonte companyreports.it/ceppi-legnami-srl-00679990150 | telefono: PG «ceppi legnami» in cesano maderno → Ceppi Legnami | Via Tiepolo Gian Battista, 14 - 20811 Cesano Maderno (MB)",
Spotti Tranciati S.r.l. (Cesano Maderno),"0362 501581, 0362 508420",Ingrosso e distribuzione,"Commercio all'ingrosso di legname, semilavorati in legno e legno artificiale",D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Ingrosso e distribuzione | ATECO 46.73.1 Commercio all'ingrosso di legname, semilavorati in legno e legno artificiale | fatturato 3.828.394 EUR (2023) | dipendenti da 6 a 9 | 2.5 km da Seveso | Via San Carlo, 87 - | GANCIO: Sincronizzazione ordini/magazzino: giacenza vera mentre il cliente e' al telefono | fonte companyreports.it/spotti-tranciati-srl-08015050159 | telefono: PG «spotti tranciati» in cesano maderno → Spotti Tranciati | Via S. Carlo, 87 - 20811 Cesano Maderno (MB)",
Caronni Group Srl (Cesano Maderno),02 9966146,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di fogli da impiallacciatura e di pannelli a base di legno,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 16.21 Fabbricazione di fogli da impiallacciatura e di pannelli a base di legno | fatturato 3.241.367 EUR (2024) | dipendenti da 10 a 15 | 2.5 km da Seveso | Via Legnano, 7 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/caronni-group-srl-01746030152 | telefono: PG «caronni» in cesano maderno → Caronni Group S.r.l. | Via Legnano, 7 - 20811 Cesano Maderno (MB)",
Andreoli S.r.l. (Cesano Maderno),"0362 523019, 0362 541242, 0362 506897","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di fogli da impiallacciatura e di pannelli a base di legno,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 16.21 Fabbricazione di fogli da impiallacciatura e di pannelli a base di legno | fatturato 2.925.728 EUR (2024) | dipendenti da 16 a 19 | 2.5 km da Seveso | Via Delle Campiane, 1/1A - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/andreoli-srl-03832050961 | telefono: PG «andreoli» in cesano maderno → Andreoli S.r.l. | Via delle Campiane, 1/A - 20811 Cesano Maderno (MB)",
T & D Services S.r.l. (Cesano Maderno),"0362 509302, 0362 509303, 0362 509301","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Lavorazioni preliminari alla stampa e ai media,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 18.13 Lavorazioni preliminari alla stampa e ai media | fatturato 2.705.278 EUR (2024) | dipendenti da 10 a 15 | 2.5 km da Seveso | Corso Roma, 116 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/t-d-services-srl-06395090969 | telefono: PG «services» in cesano maderno → Services S.r.l. | Corso Roma, 51 - 20811 Cesano Maderno (MB)",
Service Air Srl (Cesano Maderno),"340 5698965, 0362 552832",Ingrosso e distribuzione,"Commercio all'ingrosso di altre macchine ed attrezzature per l'industria, il commercio e la navigazione nca",D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Ingrosso e distribuzione | ATECO 46.69.99 Commercio all'ingrosso di altre macchine ed attrezzature per l'industria, il commercio e la navigazione nca | fatturato 2.645.721 EUR (2024) | dipendenti da 10 a 15 | 2.5 km da Seveso | Via Bonomelli, 9 - | GANCIO: Sincronizzazione ordini/magazzino: giacenza vera mentre il cliente e' al telefono | fonte companyreports.it/service-air-srl-05780230966 | telefono: PG «service air» in cesano maderno → Service Air S.r.l. | Via Bonomelli Geremia, 9 - 20811 Cesano Maderno (MB)",
Ellemme Contract S.r.l. (Cesano Maderno),0362 827453,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di poltrone e divani,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 31.09.3 Fabbricazione di poltrone e divani | fatturato 1.326.057 EUR (2023) | dipendenti da 16 a 19 | 2.5 km da Seveso | Via Ortles, 2 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/ellemme-contract-srl-10532820965 | telefono: PG «ellemme contract» in cesano maderno → Ellemme Contract S.r.l. | Via Ortles, 2 - 20811 Cesano Maderno (MB)",
Somn S.r.l. (Cesano Maderno),"0362 70686, 0362 347694, 335 1837542, 800 430177","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)","Confezionamento di biancheria da letto, da tavola e per l'arredamento",D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 13.92.1 Confezionamento di biancheria da letto, da tavola e per l'arredamento | fatturato 1.182.639 EUR (2024) | dipendenti da 10 a 15 | 2.5 km da Seveso | Via Dei Mille, 8 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/somn-srl-02735280139 | telefono: PG «somn» in cesano maderno → Somn Srl | Via dei Mille, 8 - 20811 Cesano Maderno (MB)",
Vetrolux Tools S.r.l. (Cesano Maderno),0362 574133,Metalmeccanica e officine,Fabbricazione di parti intercambiabili per macchine utensili,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Metalmeccanica e officine | ATECO 25.73.12 Fabbricazione di parti intercambiabili per macchine utensili | fatturato 1.121.292 EUR (2024) | dipendenti da 10 a 15 | 2.5 km da Seveso | Via Grigna, 13 - | GANCIO: Tracciamento commesse in officina: quale pezzo a che fase, senza girare a chiedere | fonte companyreports.it/vetrolux-tools-srl-08425880963 | telefono: PG «vetrolux tools» in cesano maderno → Vetrolux Tools S.r.l. | Via Grigna, 13 - 20811 Cesano Maderno (MB)",
