Nome Azienda,Telefono / Cellulare,Tipo Azienda,Settore,Servizio da Vendere,Prezzo Indicativo,Note Strategiche (Claude),Esito e Note Agente
FMC ServiceS (Limbiate),388 3897483,Impresa di pulizie,Servizi B2B,DenkiShift,2 EUR/dipendente/mese,"SEGNALE: piu' cantieri, orari sfalsati. ATTENZIONE: risulta un secondo numero (327 8854190) intestato a 'Fmc' allo stesso comune: probabile stessa impresa, una telefonata sola. QUALIFICA sulla soglia degli 8. SPIN-Situazione: 'quante squadre avete in giro in una giornata?'",
Impresa di pulizie Groane (Limbiate),333 3497219,Impresa di pulizie,Servizi B2B,DenkiShift,2 EUR/dipendente/mese,"SEGNALE: multi-cantiere. Numero di cellulare = si parla col titolare al primo colpo, e' un vantaggio. GANCIO diretto: 'lei e' il titolare? Le rubo trenta secondi'. OBIEZIONE 'siamo pochi' -> qualifica onesta: sotto 8 si saluta.",
Impresa di pulizie Primo Maggio (Limbiate),320 3282617,Impresa di pulizie,Servizi B2B,DenkiShift,2 EUR/dipendente/mese,SEGNALE: multi-cantiere. SPIN-Problema: 'capita che qualcuno non si presenti e lo scopriate dal cliente?' - e' la domanda che apre il dolore vero delle pulizie.,
Fossati Impresa di Pulizia (Paderno Dugnano),02 99046295,Impresa di pulizie,Servizi B2B,DenkiShift,2 EUR/dipendente/mese,"SEGNALE: multi-cantiere. Fascia 9:30-11:30. Numero fisso e cognome in insegna: impresa storica, si chiede del titolare per cognome. SPIN-Implicazione: 'quando cambia un orario, come lo comunicate a tutti - e quanti non lo leggono?'",
Eco Coop Multiservice (Bovisio Masciago),340 4724836,Cooperativa di servizi,Servizi B2B,DenkiShift,2 EUR/dipendente/mese,"SEGNALE: cooperativa = soci-lavoratori su piu' commesse, turni variabili per definizione. GANCIO: 'quante commesse seguite in contemporanea?'. SPIN-Implicazione: 'il monte ore per socio chi lo tiene?'",
Ms Multiservice S.a.s. di Telandro Monica (Senago),02 49431318,Impresa di pulizie,Servizi B2B,DenkiShift,2 EUR/dipendente/mese,"SEGNALE: multiservizi = piu' tipi di squadra, piu' orari. Titolare Monica Telandro. GANCIO: chiedere di Monica. SPIN-Situazione: 'i turni li fa lei personalmente?' - se si', il dolore e' suo e la vendita e' piu' corta.",
G.L. Clean Service di Rossi Alessandra (Lainate),339 3120896,Impresa di pulizie,Servizi B2B,DenkiShift,2 EUR/dipendente/mese,"SEGNALE: multi-cantiere. Fuori zona rispetto al resto del blocco (Lainate, MI): tenerla per ultima. QUALIFICA sulla soglia: ditta individuale, molto probabile sotto le 8 persone -> attesa 'Troppo piccoli'.",
Carrozzeria Gherardi S.r.l. di Pinna Antonio (Limbiate),02 99055886,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"NON SI VENDE: si porta al form. Ogni vettura e' una commessa con perizia, ricambi e tempi di consegna. La domanda e' una sola e va fatta cosi': 'dove segnate a che punto e' ogni vettura, e come sapete quando esce?'. OBIEZIONE 'lo so a memoria' -> Voss-labeling: 'sembra che finora abbia funzionato'. SPIN-Implicazione: 'quando il cliente chiama per sapere se e' pronta, chi glielo dice?' NOTA: S.r.l. con due cognomi in insegna - c'e' un amministratore e c'e' un socio: chiedere chi decide.",
Carrozzeria Raccosta (Limbiate),02 99485395,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"NON SI VENDE: si porta al form. Ogni vettura e' una commessa con perizia, ricambi e tempi di consegna. La domanda e' una sola e va fatta cosi': 'dove segnate a che punto e' ogni vettura, e come sapete quando esce?'. OBIEZIONE 'lo so a memoria' -> Voss-labeling: 'sembra che finora abbia funzionato'. SPIN-Implicazione: 'quando il cliente chiama per sapere se e' pronta, chi glielo dice?'",
Carrozzeria La Le Mans (Limbiate),02 99056262,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"NON SI VENDE: si porta al form. Ogni vettura e' una commessa con perizia, ricambi e tempi di consegna. La domanda e' una sola e va fatta cosi': 'dove segnate a che punto e' ogni vettura, e come sapete quando esce?'. OBIEZIONE 'lo so a memoria' -> Voss-labeling: 'sembra che finora abbia funzionato'. SPIN-Implicazione: 'quando il cliente chiama per sapere se e' pronta, chi glielo dice?'",
Carrozzeria Eredi Casati (Limbiate),02 9960648,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"NON SI VENDE: si porta al form. Ogni vettura e' una commessa con perizia, ricambi e tempi di consegna. La domanda e' una sola e va fatta cosi': 'dove segnate a che punto e' ogni vettura, e come sapete quando esce?'. OBIEZIONE 'lo so a memoria' -> Voss-labeling: 'sembra che finora abbia funzionato'. SPIN-Implicazione: 'quando il cliente chiama per sapere se e' pronta, chi glielo dice?'",
Ema Levabolli S.r.l. (Limbiate),02 46512191,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"NON SI VENDE: si porta al form. Ogni vettura e' una commessa con perizia, ricambi e tempi di consegna. La domanda e' una sola e va fatta cosi': 'dove segnate a che punto e' ogni vettura, e come sapete quando esce?'. OBIEZIONE 'lo so a memoria' -> Voss-labeling: 'sembra che finora abbia funzionato'. SPIN-Implicazione: 'quando il cliente chiama per sapere se e' pronta, chi glielo dice?' NOTA: levabolli e' una nicchia tecnica, lavorano molto per assicurazioni e flotte: chiedere se hanno commesse ricorrenti da terzi.",
Carrozzeria 2G Dimensione Auto - Soccorso Stradale 24h (Limbiate),02 99489208,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"NON SI VENDE: si porta al form. Ogni vettura e' una commessa con perizia, ricambi e tempi di consegna. La domanda e' una sola e va fatta cosi': 'dove segnate a che punto e' ogni vettura, e come sapete quando esce?'. OBIEZIONE 'lo so a memoria' -> Voss-labeling: 'sembra che finora abbia funzionato'. SPIN-Implicazione: 'quando il cliente chiama per sapere se e' pronta, chi glielo dice?' NOTA: fanno soccorso stradale H24 - se dicono di avere squadre di reperibilita', la riga vale doppio e passa a DenkiShift.",
Carrozzeria Boccardi (Limbiate),02 9960164,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"NON SI VENDE: si porta al form. Ogni vettura e' una commessa con perizia, ricambi e tempi di consegna. La domanda e' una sola e va fatta cosi': 'dove segnate a che punto e' ogni vettura, e come sapete quando esce?'. OBIEZIONE 'lo so a memoria' -> Voss-labeling: 'sembra che finora abbia funzionato'. SPIN-Implicazione: 'quando il cliente chiama per sapere se e' pronta, chi glielo dice?'",
Carrozzeria Limbiatese S.n.c. di Chiappa Valter (Limbiate),02 9964125,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"NON SI VENDE: si porta al form. Ogni vettura e' una commessa con perizia, ricambi e tempi di consegna. La domanda e' una sola e va fatta cosi': 'dove segnate a che punto e' ogni vettura, e come sapete quando esce?'. OBIEZIONE 'lo so a memoria' -> Voss-labeling: 'sembra che finora abbia funzionato'. SPIN-Implicazione: 'quando il cliente chiama per sapere se e' pronta, chi glielo dice?'",
Chiarello Massimiliano Giuseppe (Limbiate),02 91665454,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"NON SI VENDE: si porta al form. Ogni vettura e' una commessa con perizia, ricambi e tempi di consegna. La domanda e' una sola e va fatta cosi': 'dove segnate a che punto e' ogni vettura, e come sapete quando esce?'. OBIEZIONE 'lo so a memoria' -> Voss-labeling: 'sembra che finora abbia funzionato'. SPIN-Implicazione: 'quando il cliente chiama per sapere se e' pronta, chi glielo dice?'",
Ciconte Auto (Limbiate),02 99057023,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"NON SI VENDE: si porta al form. Ogni vettura e' una commessa con perizia, ricambi e tempi di consegna. La domanda e' una sola e va fatta cosi': 'dove segnate a che punto e' ogni vettura, e come sapete quando esce?'. OBIEZIONE 'lo so a memoria' -> Voss-labeling: 'sembra che finora abbia funzionato'. SPIN-Implicazione: 'quando il cliente chiama per sapere se e' pronta, chi glielo dice?'",
Nuova Carrozzeria Bertani S.r.l. (Limbiate),02 9965968,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"NON SI VENDE: si porta al form. Ogni vettura e' una commessa con perizia, ricambi e tempi di consegna. La domanda e' una sola e va fatta cosi': 'dove segnate a che punto e' ogni vettura, e come sapete quando esce?'. OBIEZIONE 'lo so a memoria' -> Voss-labeling: 'sembra che finora abbia funzionato'. SPIN-Implicazione: 'quando il cliente chiama per sapere se e' pronta, chi glielo dice?'",
Nuova Styl Car (Bovisio Masciago),0362 594146,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"NON SI VENDE: si porta al form. Ogni vettura e' una commessa con perizia, ricambi e tempi di consegna. La domanda e' una sola e va fatta cosi': 'dove segnate a che punto e' ogni vettura, e come sapete quando esce?'. OBIEZIONE 'lo so a memoria' -> Voss-labeling: 'sembra che finora abbia funzionato'. SPIN-Implicazione: 'quando il cliente chiama per sapere se e' pronta, chi glielo dice?'",
Carrozzeria Benvegnu' (Bovisio Masciago),0362 591408,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"NON SI VENDE: si porta al form. Ogni vettura e' una commessa con perizia, ricambi e tempi di consegna. La domanda e' una sola e va fatta cosi': 'dove segnate a che punto e' ogni vettura, e come sapete quando esce?'. OBIEZIONE 'lo so a memoria' -> Voss-labeling: 'sembra che finora abbia funzionato'. SPIN-Implicazione: 'quando il cliente chiama per sapere se e' pronta, chi glielo dice?'",
Carrozzeria Berton (Senago),02 99058719,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"NON SI VENDE: si porta al form. Ogni vettura e' una commessa con perizia, ricambi e tempi di consegna. La domanda e' una sola e va fatta cosi': 'dove segnate a che punto e' ogni vettura, e come sapete quando esce?'. OBIEZIONE 'lo so a memoria' -> Voss-labeling: 'sembra che finora abbia funzionato'. SPIN-Implicazione: 'quando il cliente chiama per sapere se e' pronta, chi glielo dice?'",
Carrozzeria F.lli Maffei S.n.c. (Paderno Dugnano),02 9102614,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"NON SI VENDE: si porta al form. Ogni vettura e' una commessa con perizia, ricambi e tempi di consegna. La domanda e' una sola e va fatta cosi': 'dove segnate a che punto e' ogni vettura, e come sapete quando esce?'. OBIEZIONE 'lo so a memoria' -> Voss-labeling: 'sembra che finora abbia funzionato'. SPIN-Implicazione: 'quando il cliente chiama per sapere se e' pronta, chi glielo dice?'",
Mo1950 S.r.l. (Varedo),0362 580134,Mobilificio e contract,Arredamento,E-commerce,da 500 EUR + 360 EUR/anno,"VERIFICATO col metro giusto: il sito CE L'HANNO (mo1950.it, design & contract) ma NON VENDE ONLINE - nessun carrello, nessun checkout. E' esattamente il lead e-commerce: vetrina si', vendita no. GANCIO: 'il vostro sito fa vedere, non fa comprare'. NON dire 'non avete un sito'. SPIN-Implicazione: 'quanti clienti vi scrivono per chiedere un prezzo che sul sito non c'e'?'",
La Nova Sedia (Varedo),0362 582883,Arredamento su misura,Arredamento,E-commerce,da 500 EUR + 360 EUR/anno,"VERIFICATO: sito presente (lanovasedia.it, arredi personalizzati, Varedo confermato in pagina) ma SENZA CARRELLO. Fanno su misura: il carrello classico non basta, serve un configuratore - e' una vendita piu' alta di un e-commerce standard. GANCIO: 'su misura e online non sono incompatibili'. SPIN-Necessita': 'se un cliente potesse configurare la sedia e vedere il prezzo, quante richieste in meno dovreste evadere a mano?'",
