data,comune,provincia,titolo,inserzionista,telefono,url,cercato,estratto,Contatto,Esito verifica sito,Esito DM
2026-08-27,Vimodrone,MI,INSEGNATE PILATES/REFORMER,,,https://www.subito.it/offerte-lavoro/insegnate-pilates-reformer-milano-658562463.htm,subito:nuova apertura,"INSEGNANTE PILATES / REFORMER / YOGA E OSTEOPATA Human Performance Studio, nuovo studio dedicato a Training, Pilates e Performance, in apertura a novembre 2026 ",solo chat Subito (apre nov 2026),cercato WebSearch + IG/FB → niente,DA CONTATTARE
2026-08-27,Brescia,BS,Team Leader Sales per il centro formativo di Bresc,davante corsi cef,,https://www.subito.it/offerte-lavoro/team-leader-sales-per-il-centro-formativo-di-bresc-brescia-658511787.htm,subito:nuova apertura,"Davante Corsi CEF è una realtà di riferimento nel settore della formazione in Spagna, Portogallo e Italia che ha aiutato più di 1.000.000 di persone nello svilu",—,Davante CEF: corporate,fuori target
2026-08-25,Crema,CR,Sala / cucina,Da Filippo,,https://www.subito.it/offerte-lavoro/sala-cucina-cremona-658314284.htm,subito:nuova apertura,"? CERCHIAMO PERSONALE A CREMA In vista dell'apertura del nuovo locale alle porte di Crema, siamo alla ricerca di nuove persone da inserire nel team. Se hai pass",solo chat Subito,cercato WebSearch → dafilipposrls.com indicizzato ma DNS morto,DA CONTATTARE
2026-08-25,Milano,MI,Membership consultant,Leda ssd arl,3474200020,https://www.subito.it/offerte-lavoro/membership-consultant-milano-652495850.htm,subito:nuova apertura,"Cerco per Palestra FITLEVEL realtà solida e strutturata a Bruzzano,un/una commerciale con voglia di Crescere. E' una possibilità incredibile, in funzione anche ",tel 3474200020 · 02 66200247,fitlevel.it vivo + IG @fitlevel_palestreacerbi,SCARTATO: sito vivo
2026-08-25,Brescia,BS,Cuoco Capo partita ,,,https://www.subito.it/offerte-lavoro/cuoco-capo-partita-brescia-658295600.htm,subito:nuova apertura,"Il Babì Bistrot, di prossima apertura in Piazza Duomo a Brescia, è una nuova realtà che offre cucina etnica ivoriana contemporanea. Selezioniamo una figura prof",solo chat Subito,cercato WebSearch + IG/FB → niente (Bistrot Duomo è un altro),DA CONTATTARE
2026-08-24,Brescia,BS,Apprendista part tima,Ncaposaconsulting,,https://www.subito.it/offerte-lavoro/apprendista-part-tima-brescia-658185712.htm,subito:prossima apertura,Cerco Ragazza da inserire in hamburgheria .PROSSIMA APERTURA A BRESCIA ZONA NORD. Inizialmente part-time più in la si valuta il full,solo chat Subito,anonimo: niente da verificare,DA CONTATTARE
2026-08-19,Cantu',CO,venditore auto,,,https://www.subito.it/offerte-lavoro/venditore-auto-como-657635265.htm,subito:nuova apertura,"NUOVA APERTURA A CANTÙ – CERCHIAMO COLLABORATORE Per nuova apertura nel settore automobilistico a Cantù, cerchiamo professionista con Partita IVA per attività d",solo chat Subito,anonimo: niente da verificare,DA CONTATTARE
2026-08-19,San Fermo della Battaglia,CO,Agente/venditore,saglio massimo,,https://www.subito.it/offerte-lavoro/agente-venditore-como-657696533.htm,subito:prossima apertura,"LARIO OSMOTIC RICERCA AGENTE / VENDITORE In vista della prossima apertura, Lario Osmotic ricerca per Como e provincia AGENTE / VENDITORE PLURIMANDATARIO CON P.I",info@lariosmotic.com (dominio non risolve),B2B trattamento acqua,fuori target
2026-08-14,Madesimo,SO,Personale Alberghiero,leonidaion srl,,https://www.subito.it/offerte-lavoro/personale-alberghiero-sondrio-657217491.htm,subito:nuova apertura,Cercasi personale per nuova apertura Hotel a Madesimo (SO) - Manutentori - Camerieri di Sala e Bar - Addetti al Ricevimento - Cuochi - Lavapiatti - Personale ai,solo chat Subito,"probabile Madesan Alpes (madesan.it in manutenzione), brand internazionale",fuori target
2026-08-11,Milano,MI,Pizzaiolo per nuova apertura,La Cala srl,,https://www.subito.it/offerte-lavoro/pizzaiolo-per-nuova-apertura-milano-656985031.htm,subito:nuova apertura,"Pizzeria in Milano zona porta Romana/ Centro ricerca pizzaiolo, possibilmente automunito per future nuove aperture.",—,"La Cala: ristorante esistente, sito non trovato",non è un'apertura
2026-08-10,Milano,MI,Addetti alla cassa,aroma caffe',,https://www.subito.it/offerte-lavoro/addetti-alla-cassa-milano-656860897.htm,subito:nuova apertura,Per nuova apertura siamo alla ricerca di 2 addette alla cassa La risorsa si occupera' di Gestione della cassa e dei pagamenti Accoglienza ed assistenza alla cli,solo chat Subito,"cercato WebSearch → Aroma Caffe Affori su Tripadvisor, nessun sito",DA CONTATTARE
2026-08-10,Milano,MI,Addetti alla griglia,aroma caffe',,https://www.subito.it/offerte-lavoro/addetti-alla-griglia-milano-656859935.htm,subito:nuova apertura,"Per nuova apertura siamo alla ricerca di 3 addetti alla griglia sede di lavoro MILANO La risorsa si occupera' di carne ed altri prodotti alla griglia, preparazi",solo chat Subito,doppione di Addetti alla cassa,doppione
