Account IG,Nome attivita,Comune (prov),Segmento,Follower,Gancio (1-6),Esito verifica sito,DM inviato (data),Esito DM
@justyouestetica,Just You Centro Olistico,Lecco (LC),Estetica,1621,5,"Treatwell. ATTENZIONE: hanno anche una sede a Monza, verificare che non sia gia su lista telefonica",,
@valeronchetti_pmu,Valeria Ronchetti - dermopigmentista,Lecco (LC) DA CONFERMARE,PMU,1422,1,"Nessun sito, nessun link. Comune non in bio: confermare",,
@beautiful_and_stylish_lecco,Barbershop Lecco,Lecco (LC),Barber,1240,1,"Nessun sito, nessun link",,
@ciglia_extension_lecco,Extension Ciglia Lecco,Lecco (LC),Ciglia,1186,1,Unico link: TikTok. Fa ciglia dal 2016,,
@fairy_nail_lecco,Fairy Nail,Lecco (LC),Nail/estetica,1020,1,"Nessun sito, nessun link",,
@thebarberhouse_mrt,The Barber House,Merate (LC),Barber,853,5,Unico link: Treatwell,,
@wennailspa,Nail Studio Lecco,Lecco (LC),Nail,833,1,"Nessun sito, nessun link",,
@unghiettebybaby,"Trucco permanente, unghie, tattoo",Lecco (LC),PMU/nail,716,2,unghiettebybaby.it scritto in bio NON ESISTE PIU (NXDOMAIN),,
@beauty_daily_lecco,Beauty Daily,Lecco (LC),Estetica,681,1,"Nessun sito, nessun link",,
@beautyland.beauty,Beautyland,Cernusco Lombardone (LC),Estetica,480,1,"Nessun sito, nessun link",,
@studiom_acconciature,StudioM_,Missaglia (LC),Parrucchieri,402,1,"Nessun sito, nessun link",,
@new_roger_acconciature,Roger Acconciature,Oggiono (LC),Parrucchieri,232,1,Nessun sito. Storie in evidenza ferme al 2023: mandare per ultimo,,
