Nome Azienda,Telefono / Cellulare,Tipo Azienda,Settore,Servizio da Vendere,Prezzo Indicativo,Note Strategiche (Claude),Esito e Note Giulia
Impresa di pulizie Primo Maggio (Limbiate),320 3282617,Impresa di pulizie,Servizi B2B,DenkiShift,2 EUR/dipendente/mese,SEGNALE: multi-cantiere. SPIN-Problema: 'capita che qualcuno non si presenti e lo scopriate dal cliente?' - e' la domanda che apre il dolore vero delle pulizie.,
Fossati Impresa di Pulizia (Paderno Dugnano),02 99046295,Impresa di pulizie,Servizi B2B,DenkiShift,2 EUR/dipendente/mese,"SEGNALE: multi-cantiere. Fascia 9:30-11:30. Numero fisso e cognome in insegna: impresa storica, si chiede del titolare per cognome. SPIN-Implicazione: 'quando cambia un orario, come lo comunicate a tutti - e quanti non lo leggono?'",
Eco Coop Multiservice (Bovisio Masciago),340 4724836,Cooperativa di servizi,Servizi B2B,DenkiShift,2 EUR/dipendente/mese,"SEGNALE: cooperativa = soci-lavoratori su piu' commesse, turni variabili per definizione. GANCIO: 'quante commesse seguite in contemporanea?'. SPIN-Implicazione: 'il monte ore per socio chi lo tiene?'",
Ms Multiservice S.a.s. di Telandro Monica (Senago),02 49431318,Impresa di pulizie,Servizi B2B,DenkiShift,2 EUR/dipendente/mese,"SEGNALE: multiservizi = piu' tipi di squadra, piu' orari. Titolare Monica Telandro. GANCIO: chiedere di Monica. SPIN-Situazione: 'i turni li fa lei personalmente?' - se si', il dolore e' suo e la vendita e' piu' corta.",
G.L. Clean Service di Rossi Alessandra (Lainate),339 3120896,Impresa di pulizie,Servizi B2B,DenkiShift,2 EUR/dipendente/mese,"SEGNALE: multi-cantiere. Fuori zona rispetto al resto del blocco (Lainate, MI): tenerla per ultima. QUALIFICA sulla soglia: ditta individuale, molto probabile sotto le 8 persone -> attesa 'Troppo piccoli'.",
Fondazione Casa Famiglia San Giuseppe Onlus (Vimercate),039 669122,Casa di riposo,Sanita' e assistenza,DenkiShift,2 EUR/dipendente/mese,"SEGNALE: H24 sette giorni. Fascia 10:00-12:00 o 14:30-16:00, mai al cambio turno. GANCIO: 'chi prepara i turni degli operatori?'. SPIN-Implicazione: 'quando manca qualcuno la domenica, quante telefonate servono per coprirlo?'",
Residenza Scaccabarozzi (Ornago),039 6011505,RSA,Sanita' e assistenza,DenkiShift,2 EUR/dipendente/mese,"SEGNALE: RSA, H24. QUALIFICA: 8-50 dipendenti. Sopra i 50 hanno gia' un HR imposto e la chiamata e' persa. SPIN-Situazione: 'quante persone sui turni?'",
Centro Maria Bambina (Bellusco),039 623636,Casa di riposo religiosa,Sanita' e assistenza,DenkiShift,2 EUR/dipendente/mese,"SEGNALE: H24. Ente religioso: decisione lenta e collegiale, ma zero concorrenza commerciale sopra. GANCIO: chiedere della coordinatrice, non del 'responsabile IT' che non esiste. SPIN-Problema: 'i turni li fate a mano?'",
Congregazione Religiosa Serve di Gesu Cristo (Agrate Brianza),039 650820,Struttura assistenziale religiosa,Sanita' e assistenza,DenkiShift,2 EUR/dipendente/mese,"SEGNALE: assistenza continuativa. Come sopra: linguaggio semplice, nessun gergo, nessuna pressione. SPIN-Situazione: 'quante persone lavorano sui turni?'",
Rsa Machiavelli 1 & 2 (Bernareggio),039 2265366,RSA - due strutture,Sanita' e assistenza,DenkiShift,2 EUR/dipendente/mese,"SEGNALE: DUE strutture sotto la stessa gestione = personale che si sposta e turni da incastrare su due sedi. E' il profilo migliore del blocco. GANCIO: le due sedi. SPIN-Implicazione: 'come sapete chi e' dove, in una giornata?'",
Rsa Villa San Clemente (Villasanta),039 2052393,RSA,Sanita' e assistenza,DenkiShift,2 EUR/dipendente/mese,"SEGNALE: H24. SPIN-Implicazione: 'un turno comunicato male quanto vi costa in straordinari a fine mese?' - portare il discorso sui soldi, non sulla comodita'.",
R.S.A. Villa Teruzzi (Concorezzo),039 6886187,RSA,Sanita' e assistenza,DenkiShift,2 EUR/dipendente/mese,"SEGNALE: H24. GANCIO: 'parlo con chi organizza i turni'. OBIEZIONE 'abbiamo gia' un gestionale' -> Voss-mirroring: 'un gestionale?' -> capire se e' HR vero o un foglio condiviso. Se e' Excel, la porta e' aperta.",
RSA Anna e Guido Fossati (Monza),039 836162,RSA,Sanita' e assistenza,DenkiShift,2 EUR/dipendente/mese,SEGNALE: H24. Monza e' fuori dall'asse est stretto ma dentro il raggio: tenerla per ultima nella giornata. SPIN-Situazione: 'quanti operatori in organico?',
Istituto Geriatrico Vergani e Bassi Onlus (Gorgonzola),02 9513379,Istituto geriatrico,Sanita' e assistenza,DenkiShift,2 EUR/dipendente/mese,"SEGNALE: H24, istituto strutturato. Verificare la soglia dei 50: se sono grandi, la decisione non e' locale. SPIN-Situazione: 'i turni li decidete qui o arrivano dall'alto?'",
Valaperta Alessandro (Villasanta),347 5881208,Impresa di pulizie,Servizi B2B,DenkiShift,2 EUR/dipendente/mese,"SEGNALE: multi-cantiere, orari diversi ogni giorno. Chiamare 9:30-11:30, non prima delle 9 (sono sui cantieri). GANCIO: 'come sanno i suoi dove andare domani mattina?'. SPIN-Implicazione: 'se uno sbaglia cantiere quanto perdete?'",
Deep Clean (Arcore),351 3627404,Impresa di pulizie,Servizi B2B,DenkiShift,2 EUR/dipendente/mese,SEGNALE: multi-cantiere. Cellulare = titolare in linea al primo colpo. QUALIFICA sulla soglia degli 8 prima di raccontare qualsiasi cosa.,
Sylvanu Slowe (Agrate Brianza),388 4459593,Impresa di pulizie,Servizi B2B,DenkiShift,2 EUR/dipendente/mese,SEGNALE: multi-cantiere. Ditta piccola: molto probabile 'Troppo piccoli'. Si qualifica in trenta secondi e si passa oltre senza insistere - il tempo di Edoardo vale piu' della riga.,
D.P.M. Impresa di Pulizie (Mezzago),347 3959832,Impresa di pulizie,Servizi B2B,DenkiShift,2 EUR/dipendente/mese,SEGNALE: multi-cantiere. SPIN-Problema: 'capita che un cliente vi dica che non e' passato nessuno?' - e' la ferita tipica del settore.,
Omnialabor (Brugherio),333 2315381,Impresa di pulizie e servizi,Servizi B2B,DenkiShift,2 EUR/dipendente/mese,"SEGNALE: multiservizi = piu' tipi di squadra. GANCIO: 'quante squadre in giro in una giornata?'. SPIN-Implicazione: 'il monte ore per persona chi lo tiene, e su cosa?'",
Magic Clean - Pulizie e Sanificazioni (Monza),347 4641687,Impresa di pulizie e sanificazioni,Servizi B2B,DenkiShift,2 EUR/dipendente/mese,"SEGNALE: pulizie E sanificazioni = due tipi di squadra e due calendari, spesso sugli stessi cantieri. GANCIO: proprio questo. SPIN-Implicazione: 'come incastrate una sanificazione straordinaria e le pulizie fisse nella stessa settimana?'",
