Nome,Telefono,Comune,Segmento,Segnale,Prodotto,Prezzo indicativo,Esito,Data richiamo,Appuntamento,Esito appuntamento,Note
Residenze Assistite Groane,0362 1695222,Cesano Maderno,RSA,H24 sette giorni su sette,C - DenkiShift,2 EUR/dip./mese,,,,,
Residenze Lentate,0362 1787652,Lentate sul Seveso,RSA,H24 sette giorni su sette,C - DenkiShift,2 EUR/dip./mese,,,,,
Villa Cenacolo,0362 560213,Lentate sul Seveso,RSA,H24 sette giorni su sette,C - DenkiShift,2 EUR/dip./mese,,,,,
Fondazione Residenza Amica Onlus,0362 354336,Giussano,RSA,H24 sette giorni su sette,C - DenkiShift,2 EUR/dip./mese,,,,,
Fondazione Luigia e Alessandro Agostoni Onlus,039 243111,Lissone,RSA,H24 sette giorni su sette,C - DenkiShift,2 EUR/dip./mese,,,,,
Casa di Riposo I Gelsi,02 96729208,Lazzate,RSA,H24 sette giorni su sette,C - DenkiShift,2 EUR/dip./mese,,,,,
Residenza San Francesco,0362 364380,Nova Milanese,RSA,H24 sette giorni su sette,C - DenkiShift,2 EUR/dip./mese,,,,,
Villaggio Amico,02 96483579,zona Seveso,RSA,H24 sette giorni su sette,C - DenkiShift,2 EUR/dip./mese,,,,,Si presenta come RSA di riferimento per la zona di Seveso: verificare dove ha sede
L Altra Eta,02 9964522,Limbiate,RSA,H24 sette giorni su sette,C - DenkiShift,2 EUR/dip./mese,,,,,
Rsa Attanasio - Rsa Limbiate,02 47952002,Limbiate,RSA,H24 sette giorni su sette,C - DenkiShift,2 EUR/dip./mese,,,,,
Residenza per Anziani Regina Pacis,347 2655359,Meda,RSA,H24 ma numero di cellulare,C - DenkiShift,2 EUR/dip./mese,,,,,Solo cellulare: struttura probabilmente piccola. Qualificare la testa prima di spendere tempo
Adomicilio Societa Cooperativa Sociale Onlus,0362 852011,Giussano,Cooperativa assistenza domiciliare,Personale sparso su domicili e orari diversi,C - DenkiShift,2 EUR/dip./mese,,,,,Assistenza a domicilio: il caso peggiore da pianificare a mano
Adomicilio Societa Cooperativa Sociale Onlus,0362 993673,Carate Brianza,Cooperativa assistenza domiciliare,Personale sparso su domicili e orari diversi,C - DenkiShift,2 EUR/dip./mese,,,,,Seconda sede
Adomicilio Societa Cooperativa Sociale Onlus,039 2142307,Brugherio,Cooperativa assistenza domiciliare,Personale sparso su domicili e orari diversi,C - DenkiShift,2 EUR/dip./mese,,,,,Terza sede
Societa Cooperativa Il Raggio Verde,039 27011,Muggio,Cooperativa sociale,Personale su piu servizi,C - DenkiShift,2 EUR/dip./mese,,,,,
TS Brianza Service,0362 281526,Seregno,Cooperativa / servizi,Personale su piu commesse,C - DenkiShift,2 EUR/dip./mese,,,,,
Kcs Caregiver Cooperativa Sociale,0362 805321,Carate Brianza,Cooperativa sociale,Personale su piu strutture,C - DenkiShift,2 EUR/dip./mese,,,,,
Cooperativa Sociale Rieducazione Motoria Onlus,02 95339553,Cavenago di Brianza,Cooperativa sociale,Personale su turni,C - DenkiShift,2 EUR/dip./mese,,,,,Fuori zona: chiamare solo se avanza tempo
Dierre Pulizie,0362 354561,Verano Brianza,Impresa di pulizie,Squadre su piu cantieri ogni giorno diversi,C - DenkiShift,2 EUR/dip./mese,,,,,Numero fisso + cellulare: struttura organizzata
Eco Coop Multiservice,0362 1971197,Bovisio Masciago,Impresa di pulizie,Squadre su piu cantieri ogni giorno diversi,C - DenkiShift,2 EUR/dip./mese,,,,,Cooperativa: probabile organico sopra le 10 persone
Elite Facility Service,0362 1826500,Cesano Maderno,Impresa di pulizie,Squadre su piu cantieri ogni giorno diversi,C - DenkiShift,2 EUR/dip./mese,,,,,Facility: spesso gestisce piu appalti
Impresa di Pulizie Caglio,0362 904293,Giussano,Impresa di pulizie,Squadre su piu cantieri ogni giorno diversi,C - DenkiShift,2 EUR/dip./mese,,,,,
La Corona,0362 1730158,Carate Brianza,Impresa di pulizie,Squadre su piu cantieri ogni giorno diversi,C - DenkiShift,2 EUR/dip./mese,,,,,
La Pulirendin,039 795839,Muggio,Impresa di pulizie,Squadre su piu cantieri ogni giorno diversi,C - DenkiShift,2 EUR/dip./mese,,,,,
Pulisplend 2.0,039 831649,Concorezzo,Impresa di pulizie,Squadre su piu cantieri ogni giorno diversi,C - DenkiShift,2 EUR/dip./mese,,,,,Fuori zona: chiamare solo se avanza tempo
D.P.M. Impresa di Pulizie,039 8965805,Mezzago,Impresa di pulizie,Squadre su piu cantieri ogni giorno diversi,C - DenkiShift,2 EUR/dip./mese,,,,,Fuori zona: chiamare solo se avanza tempo
Igiene e Ambiente Srl,393 8476643,Roncello,Impresa di pulizie,Srl quindi struttura ma solo cellulare,C - DenkiShift,2 EUR/dip./mese,,,,,Fuori zona
M.S. Service,339 3639252,Seveso,Impresa di pulizie,Solo cellulare: qualificare la testa,C - DenkiShift,2 EUR/dip./mese,,,,,In paese: se e piccola vale comunque come contatto per il porta-a-porta di Patrick
Pcs Multiservice,348 4607017,Desio,Impresa di pulizie,Solo cellulare: qualificare la testa,C - DenkiShift,2 EUR/dip./mese,,,,,Multiservice: puo avere piu commesse
Clean,389 6585352,Desio,Impresa di pulizie,Solo cellulare: qualificare la testa,C - DenkiShift,2 EUR/dip./mese,,,,,
BSA service,348 2409558,Giussano,Impresa di pulizie,Solo cellulare: qualificare la testa,C - DenkiShift,2 EUR/dip./mese,,,,,
SN Service,349 0693903,Lissone,Impresa di pulizie,Solo cellulare: qualificare la testa,C - DenkiShift,2 EUR/dip./mese,,,,,
L Artigiano del Pulito,349 0962130,Lissone,Impresa di pulizie,Solo cellulare: qualificare la testa,C - DenkiShift,2 EUR/dip./mese,,,,,
Al.Lo Impresa di Pulizie,366 7656590,Bovisio Masciago,Impresa di pulizie,Solo cellulare: qualificare la testa,C - DenkiShift,2 EUR/dip./mese,,,,,
Mogavero Pulizie,335 6944951,Cesano Maderno,Impresa di pulizie,Solo cellulare: qualificare la testa,C - DenkiShift,2 EUR/dip./mese,,,,,
Infinity Service Pulizie,327 9677231,Limbiate,Impresa di pulizie,Solo cellulare: qualificare la testa,C - DenkiShift,2 EUR/dip./mese,,,,,
Future Services,348 7676564,Albiate,Impresa di pulizie,Solo cellulare: qualificare la testa,C - DenkiShift,2 EUR/dip./mese,,,,,
